epoch,train_loss,train_mae
0,tensor(0.1754),tensor(0.2723)
1,tensor(0.1834),tensor(0.2723)
2,tensor(0.1743),tensor(0.2723)
3,tensor(0.1732),tensor(0.2723)
4,tensor(0.1758),tensor(0.2742)
5,tensor(0.1752),tensor(0.2747)
6,tensor(0.1722),tensor(0.2738)
7,tensor(0.1708),tensor(0.2723)
8,tensor(0.1718),tensor(0.2723)
9,tensor(0.1730),tensor(0.2723)
10,tensor(0.1721),tensor(0.2723)
11,tensor(0.1703),tensor(0.2723)
12,tensor(0.1698),tensor(0.2723)
13,tensor(0.1705),tensor(0.2731)
14,tensor(0.1715),tensor(0.2735)
15,tensor(0.1712),tensor(0.2732)
16,tensor(0.1699),tensor(0.2723)
17,tensor(0.1691),tensor(0.2723)
18,tensor(0.1700),tensor(0.2723)
19,tensor(0.1708),tensor(0.2723)
20,tensor(0.1706),tensor(0.2723)
21,tensor(0.1697),tensor(0.2723)
22,tensor(0.1691),tensor(0.2727)
23,tensor(0.1696),tensor(0.2731)
24,tensor(0.1701),tensor(0.2729)
25,tensor(0.1698),tensor(0.2723)
26,tensor(0.1692),tensor(0.2723)
27,tensor(0.1692),tensor(0.2723)
28,tensor(0.1694),tensor(0.2723)
29,tensor(0.1695),tensor(0.2723)
30,tensor(0.1693),tensor(0.2723)
31,tensor(0.1691),tensor(0.2726)
32,tensor(0.1693),tensor(0.2727)
33,tensor(0.1693),tensor(0.2723)
34,tensor(0.1691),tensor(0.2723)
35,tensor(0.1691),tensor(0.2723)
36,tensor(0.1691),tensor(0.2723)
37,tensor(0.1691),tensor(0.2723)
38,tensor(0.1690),tensor(0.2723)
39,tensor(0.1690),tensor(0.2726)
40,tensor(0.1692),tensor(0.2724)
41,tensor(0.1691),tensor(0.2723)
42,tensor(0.1690),tensor(0.2723)
43,tensor(0.1691),tensor(0.2723)
44,tensor(0.1692),tensor(0.2723)
45,tensor(0.1691),tensor(0.2723)
46,tensor(0.1690),tensor(0.2726)
47,tensor(0.1692),tensor(0.2725)
48,tensor(0.1691),tensor(0.2723)
49,tensor(0.1690),tensor(0.2723)
