epoch,train_loss,train_mae
0,tensor(0.7946),tensor(1.0046)
1,tensor(1.3302),tensor(0.8499)
2,tensor(0.8219),tensor(0.7646)
3,tensor(0.8937),tensor(0.7717)
4,tensor(1.0876),tensor(0.7633)
5,tensor(1.0021),tensor(0.7758)
6,tensor(0.8343),tensor(0.8202)
7,tensor(0.7853),tensor(0.8689)
8,tensor(0.8663),tensor(0.8907)
9,tensor(0.9372),tensor(0.8833)
10,tensor(0.9108),tensor(0.8546)
11,tensor(0.8312),tensor(0.8155)
12,tensor(0.7833),tensor(0.7849)
13,tensor(0.8025),tensor(0.7725)
14,tensor(0.8504),tensor(0.7694)
15,tensor(0.8667),tensor(0.7754)
16,tensor(0.8370),tensor(0.7876)
17,tensor(0.7959),tensor(0.8127)
18,tensor(0.7825),tensor(0.8379)
19,tensor(0.8021),tensor(0.8521)
20,tensor(0.8260),tensor(0.8522)
21,tensor(0.8263),tensor(0.8397)
22,tensor(0.8047),tensor(0.8192)
23,tensor(0.7848),tensor(0.7974)
24,tensor(0.7848),tensor(0.7861)
25,tensor(0.7994),tensor(0.7827)
26,tensor(0.8092),tensor(0.7847)
27,tensor(0.8031),tensor(0.7912)
28,tensor(0.7890),tensor(0.8078)
29,tensor(0.7821),tensor(0.8235)
30,tensor(0.7874),tensor(0.8330)
31,tensor(0.7961),tensor(0.8337)
32,tensor(0.7969),tensor(0.8263)
33,tensor(0.7895),tensor(0.8137)
34,tensor(0.7827),tensor(0.8004)
35,tensor(0.7834),tensor(0.7912)
36,tensor(0.7889),tensor(0.7898)
37,tensor(0.7913),tensor(0.7921)
38,tensor(0.7879),tensor(0.8013)
39,tensor(0.7831),tensor(0.8120)
40,tensor(0.7824),tensor(0.8205)
41,tensor(0.7855),tensor(0.8238)
42,tensor(0.7876),tensor(0.8213)
43,tensor(0.7859),tensor(0.8143)
44,tensor(0.7829),tensor(0.8057)
45,tensor(0.7821),tensor(0.7988)
46,tensor(0.7840),tensor(0.7960)
47,tensor(0.7854),tensor(0.7979)
48,tensor(0.7844),tensor(0.8035)
49,tensor(0.7825),tensor(0.8103)
50,tensor(0.7821),tensor(0.8157)
51,tensor(0.7833),tensor(0.8176)
52,tensor(0.7840),tensor(0.8157)
53,tensor(0.7833),tensor(0.8109)
54,tensor(0.7821),tensor(0.8055)
55,tensor(0.7821),tensor(0.8016)
56,tensor(0.7829),tensor(0.8006)
57,tensor(0.7832),tensor(0.8028)
58,tensor(0.7825),tensor(0.8069)
59,tensor(0.7819),tensor(0.8111)
60,tensor(0.7821),tensor(0.8136)
61,tensor(0.7826),tensor(0.8136)
62,tensor(0.7826),tensor(0.8111)
63,tensor(0.7821),tensor(0.8076)
64,tensor(0.7819),tensor(0.8046)
65,tensor(0.7821),tensor(0.8033)
66,tensor(0.7824),tensor(0.8042)
67,tensor(0.7822),tensor(0.8067)
68,tensor(0.7819),tensor(0.8095)
69,tensor(0.7819),tensor(0.8114)
70,tensor(0.7821),tensor(0.8115)
71,tensor(0.7821),tensor(0.8100)
72,tensor(0.7819),tensor(0.8077)
73,tensor(0.7818),tensor(0.8057)
74,tensor(0.7819),tensor(0.8049)
75,tensor(0.7820),tensor(0.8056)
76,tensor(0.7819),tensor(0.8073)
77,tensor(0.7818),tensor(0.8091)
78,tensor(0.7818),tensor(0.8102)
79,tensor(0.7819),tensor(0.8101)
80,tensor(0.7819),tensor(0.8091)
81,tensor(0.7821),tensor(0.8074)
82,tensor(0.7818),tensor(0.8063)
83,tensor(0.7819),tensor(0.8061)
84,tensor(0.7819),tensor(0.8068)
85,tensor(0.7819),tensor(0.8080)
86,tensor(0.7818),tensor(0.8091)
87,tensor(0.7819),tensor(0.8095)
88,tensor(0.7819),tensor(0.8091)
89,tensor(0.7819),tensor(0.8082)
90,tensor(0.7819),tensor(0.8073)
91,tensor(0.7819),tensor(0.8068)
92,tensor(0.7819),tensor(0.8070)
93,tensor(0.7819),tensor(0.8078)
94,tensor(0.7819),tensor(0.8085)
95,tensor(0.7819),tensor(0.8090)
96,tensor(0.7819),tensor(0.8089)
97,tensor(0.7819),tensor(0.8083)
98,tensor(0.7819),tensor(0.8077)
99,tensor(0.7819),tensor(0.8073)
100,tensor(0.7819),tensor(0.8073)
101,tensor(0.7819),tensor(0.8077)
102,tensor(0.7819),tensor(0.8083)
103,tensor(0.7819),tensor(0.8086)
104,tensor(0.7819),tensor(0.8086)
105,tensor(0.7819),tensor(0.8082)
106,tensor(0.7819),tensor(0.8078)
107,tensor(0.7819),tensor(0.8075)
108,tensor(0.7819),tensor(0.8075)
109,tensor(0.7819),tensor(0.8078)
110,tensor(0.7818),tensor(0.8081)
111,tensor(0.7818),tensor(0.8084)
112,tensor(0.7818),tensor(0.8083)
113,tensor(0.7818),tensor(0.8081)
114,tensor(0.7818),tensor(0.8078)
115,tensor(0.7818),tensor(0.8076)
116,tensor(0.7818),tensor(0.8076)
117,tensor(0.7818),tensor(0.8078)
118,tensor(0.7818),tensor(0.8081)
119,tensor(0.7818),tensor(0.8082)
120,tensor(0.7818),tensor(0.8081)
121,tensor(0.7818),tensor(0.8080)
122,tensor(0.7818),tensor(0.8078)
123,tensor(0.7818),tensor(0.8077)
124,tensor(0.7818),tensor(0.8078)
125,tensor(0.7818),tensor(0.8080)
126,tensor(0.7819),tensor(0.8081)
127,tensor(0.7819),tensor(0.8082)
128,tensor(0.7819),tensor(0.8081)
129,tensor(0.7819),tensor(0.8080)
130,tensor(0.7819),tensor(0.8079)
131,tensor(0.7819),tensor(0.8079)
132,tensor(0.7819),tensor(0.8080)
133,tensor(0.7819),tensor(0.8081)
134,tensor(0.7819),tensor(0.8082)
135,tensor(0.7819),tensor(0.8082)
136,tensor(0.7819),tensor(0.8081)
137,tensor(0.7819),tensor(0.8080)
138,tensor(0.7819),tensor(0.8080)
139,tensor(0.7819),tensor(0.8080)
140,tensor(0.7819),tensor(0.8080)
141,tensor(0.7819),tensor(0.8081)
142,tensor(0.7819),tensor(0.8081)
143,tensor(0.7819),tensor(0.8081)
144,tensor(0.7819),tensor(0.8080)
145,tensor(0.7819),tensor(0.8080)
146,tensor(0.7819),tensor(0.8080)
147,tensor(0.7819),tensor(0.8080)
148,tensor(0.7819),tensor(0.8080)
149,tensor(0.7819),tensor(0.8081)
150,tensor(0.7819),tensor(0.8080)
151,tensor(0.7819),tensor(0.8080)
152,tensor(0.7819),tensor(0.8079)
153,tensor(0.7819),tensor(0.8079)
154,tensor(0.7818),tensor(0.8079)
