epoch,train_loss,train_mae
0,tensor(0.8222),tensor(1.2604)
1,tensor(1.8429),tensor(0.8997)
2,tensor(0.8830),tensor(0.5464)
3,tensor(1.0435),tensor(0.6775)
4,tensor(1.3984),tensor(0.5489)
5,tensor(1.2178),tensor(0.6343)
6,tensor(0.9018),tensor(0.8245)
7,tensor(0.8259),tensor(0.9745)
8,tensor(0.9886),tensor(1.0365)
9,tensor(1.1132),tensor(1.0068)
10,tensor(1.0495),tensor(0.9117)
11,tensor(0.8966),tensor(0.7869)
12,tensor(0.8158),tensor(0.6708)
13,tensor(0.8627),tensor(0.5976)
14,tensor(0.9528),tensor(0.5843)
15,tensor(0.9740),tensor(0.6273)
16,tensor(0.9106),tensor(0.7078)
17,tensor(0.8350),tensor(0.8000)
18,tensor(0.8179),tensor(0.8766)
19,tensor(0.8602),tensor(0.9164)
20,tensor(0.9022),tensor(0.9111)
21,tensor(0.8959),tensor(0.8668)
22,tensor(0.8519),tensor(0.7999)
23,tensor(0.8179),tensor(0.7316)
24,tensor(0.8235),tensor(0.6825)
25,tensor(0.8526),tensor(0.6659)
26,tensor(0.8672),tensor(0.6840)
27,tensor(0.8515),tensor(0.7282)
28,tensor(0.8248),tensor(0.7829)
29,tensor(0.8155),tensor(0.8303)
30,tensor(0.8285),tensor(0.8560)
31,tensor(0.8438),tensor(0.8536)
32,tensor(0.8421),tensor(0.8261)
33,tensor(0.8266),tensor(0.7846)
34,tensor(0.8156),tensor(0.7437)
35,tensor(0.8195),tensor(0.7169)
36,tensor(0.8300),tensor(0.7121)
37,tensor(0.8326),tensor(0.7291)
38,tensor(0.8245),tensor(0.7603)
39,tensor(0.8162),tensor(0.7938)
40,tensor(0.8168),tensor(0.8178)
41,tensor(0.8232),tensor(0.8245)
42,tensor(0.8259),tensor(0.8130)
43,tensor(0.8215),tensor(0.7889)
44,tensor(0.8160),tensor(0.7619)
45,tensor(0.8160),tensor(0.7423)
46,tensor(0.8199),tensor(0.7366)
47,tensor(0.8217),tensor(0.7459)
48,tensor(0.8189),tensor(0.7654)
49,tensor(0.8156),tensor(0.7869)
50,tensor(0.8158),tensor(0.8018)
51,tensor(0.8183),tensor(0.8050)
