epoch,train_loss,train_mae
0,tensor(0.3548),tensor(1.1976)
1,tensor(1.8039),tensor(0.3091)
2,tensor(0.4251),tensor(0.7899)
3,tensor(0.6779),tensor(1.0488)
4,tensor(1.1841),tensor(0.9541)
5,tensor(0.9731),tensor(0.6775)
6,tensor(0.5263),tensor(0.4031)
7,tensor(0.3350),tensor(0.4330)
8,tensor(0.4880),tensor(0.6300)
9,tensor(0.7037),tensor(0.6483)
10,tensor(0.7175),tensor(0.5192)
11,tensor(0.5498),tensor(0.3647)
12,tensor(0.3783),tensor(0.4369)
13,tensor(0.3374),tensor(0.5814)
14,tensor(0.4218),tensor(0.6681)
15,tensor(0.5199),tensor(0.6782)
16,tensor(0.5332),tensor(0.6142)
17,tensor(0.4595),tensor(0.5085)
18,tensor(0.3712),tensor(0.3931)
19,tensor(0.3392),tensor(0.3922)
20,tensor(0.3751),tensor(0.4273)
21,tensor(0.4303),tensor(0.4426)
22,tensor(0.4477),tensor(0.4163)
23,tensor(0.4142),tensor(0.3879)
24,tensor(0.3639),tensor(0.3960)
25,tensor(0.3401),tensor(0.4736)
26,tensor(0.3557),tensor(0.5305)
27,tensor(0.3863),tensor(0.5471)
28,tensor(0.3979),tensor(0.5224)
29,tensor(0.3798),tensor(0.4664)
30,tensor(0.3508),tensor(0.3985)
31,tensor(0.3371),tensor(0.3736)
32,tensor(0.3466),tensor(0.3767)
33,tensor(0.3638),tensor(0.3766)
34,tensor(0.3682),tensor(0.3692)
35,tensor(0.3554),tensor(0.3712)
36,tensor(0.3389),tensor(0.4089)
37,tensor(0.3341),tensor(0.4560)
38,tensor(0.3422),tensor(0.4814)
39,tensor(0.3510),tensor(0.4795)
40,tensor(0.3497),tensor(0.4531)
41,tensor(0.3401),tensor(0.4123)
42,tensor(0.3328),tensor(0.3731)
43,tensor(0.3344),tensor(0.3558)
44,tensor(0.3409),tensor(0.3524)
45,tensor(0.3435),tensor(0.3570)
46,tensor(0.3392),tensor(0.3801)
47,tensor(0.3336),tensor(0.4147)
48,tensor(0.3329),tensor(0.4419)
49,tensor(0.3366),tensor(0.4531)
50,tensor(0.3393),tensor(0.4458)
51,tensor(0.3375),tensor(0.4242)
52,tensor(0.3339),tensor(0.3970)
53,tensor(0.3327),tensor(0.3744)
54,tensor(0.3348),tensor(0.3654)
55,tensor(0.3366),tensor(0.3692)
56,tensor(0.3357),tensor(0.3845)
57,tensor(0.3334),tensor(0.4059)
58,tensor(0.3325),tensor(0.4239)
59,tensor(0.3337),tensor(0.4320)
60,tensor(0.3348),tensor(0.4281)
61,tensor(0.3342),tensor(0.4145)
62,tensor(0.3328),tensor(0.3971)
63,tensor(0.3323),tensor(0.3829)
64,tensor(0.3331),tensor(0.3776)
65,tensor(0.3337),tensor(0.3809)
66,tensor(0.3333),tensor(0.3916)
67,tensor(0.3325),tensor(0.4050)
68,tensor(0.3323),tensor(0.4153)
69,tensor(0.3329),tensor(0.4185)
70,tensor(0.3332),tensor(0.4139)
71,tensor(0.3328),tensor(0.4042)
72,tensor(0.3324),tensor(0.3935)
73,tensor(0.3324),tensor(0.3863)
74,tensor(0.3328),tensor(0.3854)
75,tensor(0.3328),tensor(0.3902)
76,tensor(0.3325),tensor(0.3986)
77,tensor(0.3323),tensor(0.4066)
78,tensor(0.3324),tensor(0.4109)
79,tensor(0.3326),tensor(0.4101)
80,tensor(0.3326),tensor(0.4049)
81,tensor(0.3324),tensor(0.3980)
82,tensor(0.3323),tensor(0.3925)
83,tensor(0.3324),tensor(0.3908)
84,tensor(0.3325),tensor(0.3933)
85,tensor(0.3324),tensor(0.3985)
86,tensor(0.3323),tensor(0.4040)
87,tensor(0.3323),tensor(0.4072)
88,tensor(0.3324),tensor(0.4070)
89,tensor(0.3324),tensor(0.4038)
90,tensor(0.3323),tensor(0.3994)
91,tensor(0.3323),tensor(0.3958)
92,tensor(0.3323),tensor(0.3947)
93,tensor(0.3324),tensor(0.3964)
94,tensor(0.3323),tensor(0.3999)
95,tensor(0.3323),tensor(0.4033)
96,tensor(0.3323),tensor(0.4051)
97,tensor(0.3323),tensor(0.4046)
98,tensor(0.3323),tensor(0.4022)
99,tensor(0.3323),tensor(0.3992)
100,tensor(0.3323),tensor(0.3971)
101,tensor(0.3323),tensor(0.3969)
102,tensor(0.3323),tensor(0.3984)
103,tensor(0.3323),tensor(0.4007)
104,tensor(0.3323),tensor(0.4027)
105,tensor(0.3323),tensor(0.4033)
106,tensor(0.3323),tensor(0.4024)
107,tensor(0.3323),tensor(0.4005)
108,tensor(0.3323),tensor(0.3987)
109,tensor(0.3323),tensor(0.3979)
110,tensor(0.3323),tensor(0.3983)
111,tensor(0.3323),tensor(0.3997)
112,tensor(0.3323),tensor(0.4012)
113,tensor(0.3323),tensor(0.4021)
114,tensor(0.3323),tensor(0.4019)
115,tensor(0.3323),tensor(0.4009)
116,tensor(0.3323),tensor(0.3996)
117,tensor(0.3323),tensor(0.3988)
118,tensor(0.3323),tensor(0.3987)
