epoch,train_loss,train_mae
0,tensor(0.3727),tensor(0.8739)
1,tensor(0.7689),tensor(0.5337)
2,tensor(0.2904),tensor(0.1252)
3,tensor(0.0218),tensor(0.5715)
4,tensor(0.3332),tensor(0.5632)
5,tensor(0.3237),tensor(0.2539)
6,tensor(0.0707),tensor(0.1549)
7,tensor(0.0262),tensor(0.4193)
8,tensor(0.1815),tensor(0.4569)
9,tensor(0.2144),tensor(0.2834)
10,tensor(0.0861),tensor(0.0617)
11,tensor(0.0061),tensor(0.2468)
12,tensor(0.0672),tensor(0.3635)
13,tensor(0.1385),tensor(0.3106)
14,tensor(0.1028),tensor(0.1319)
15,tensor(0.0235),tensor(0.1110)
16,tensor(0.0133),tensor(0.2465)
17,tensor(0.0666),tensor(0.2859)
18,tensor(0.0875),tensor(0.1997)
19,tensor(0.0457),tensor(0.0791)
20,tensor(0.0074),tensor(0.1272)
21,tensor(0.0223),tensor(0.2204)
22,tensor(0.0548),tensor(0.2081)
23,tensor(0.0495),tensor(0.1053)
24,tensor(0.0172),tensor(0.0782)
25,tensor(0.0072),tensor(0.1587)
26,tensor(0.0276),tensor(0.1861)
27,tensor(0.0393),tensor(0.1465)
28,tensor(0.0232),tensor(0.0724)
29,tensor(0.0066),tensor(0.0840)
30,tensor(0.0132),tensor(0.1431)
31,tensor(0.0267),tensor(0.1285)
32,tensor(0.0227),tensor(0.0532)
33,tensor(0.0089),tensor(0.0817)
34,tensor(0.0077),tensor(0.1277)
35,tensor(0.0175),tensor(0.1330)
36,tensor(0.0190),tensor(0.0938)
37,tensor(0.0100),tensor(0.0507)
38,tensor(0.0063),tensor(0.0782)
39,tensor(0.0122),tensor(0.0950)
40,tensor(0.0152),tensor(0.0604)
41,tensor(0.0097),tensor(0.0606)
42,tensor(0.0060),tensor(0.0917)
43,tensor(0.0095),tensor(0.1057)
44,tensor(0.0122),tensor(0.0884)
45,tensor(0.0089),tensor(0.0596)
46,tensor(0.0060),tensor(0.0467)
47,tensor(0.0083),tensor(0.0639)
48,tensor(0.0102),tensor(0.0431)
49,tensor(0.0079),tensor(0.0592)
50,tensor(0.0060),tensor(0.0811)
51,tensor(0.0076),tensor(0.0881)
52,tensor(0.0088),tensor(0.0774)
53,tensor(0.0071),tensor(0.0568)
54,tensor(0.0061),tensor(0.0394)
55,tensor(0.0073),tensor(0.0422)
56,tensor(0.0079),tensor(0.0464)
57,tensor(0.0066),tensor(0.0640)
58,tensor(0.0061),tensor(0.0769)
59,tensor(0.0071),tensor(0.0775)
60,tensor(0.0072),tensor(0.0664)
61,tensor(0.0062),tensor(0.0517)
62,tensor(0.0062),tensor(0.0430)
63,tensor(0.0069),tensor(0.0456)
64,tensor(0.0066),tensor(0.0567)
65,tensor(0.0061),tensor(0.0683)
66,tensor(0.0063),tensor(0.0728)
67,tensor(0.0067),tensor(0.0677)
68,tensor(0.0063),tensor(0.0573)
69,tensor(0.0060),tensor(0.0491)
70,tensor(0.0064),tensor(0.0484)
71,tensor(0.0064),tensor(0.0551)
