epoch,train_loss,train_mae
0,tensor(4.8395),tensor(0.9255)
1,tensor(1.0102),tensor(0.3171)
2,tensor(0.2238),tensor(1.0006)
3,tensor(1.2047),tensor(1.3128)
4,tensor(1.9356),tensor(1.2344)
5,tensor(1.7336),tensor(0.9138)
6,tensor(1.0362),tensor(0.4666)
7,tensor(0.4067),tensor(0.3706)
8,tensor(0.1766),tensor(0.5566)
9,tensor(0.3582),tensor(0.7484)
10,tensor(0.7036),tensor(0.8729)
11,tensor(0.9168),tensor(0.8431)
12,tensor(0.8664),tensor(0.7042)
13,tensor(0.6202),tensor(0.5470)
14,tensor(0.3450),tensor(0.3984)
15,tensor(0.1893),tensor(0.3276)
16,tensor(0.2072),tensor(0.3938)
17,tensor(0.3421),tensor(0.5351)
18,tensor(0.4772),tensor(0.5708)
19,tensor(0.5175),tensor(0.5056)
20,tensor(0.4456),tensor(0.3603)
21,tensor(0.3160),tensor(0.3266)
22,tensor(0.2086),tensor(0.3775)
23,tensor(0.1773),tensor(0.4387)
24,tensor(0.2215),tensor(0.5051)
25,tensor(0.2938),tensor(0.5410)
26,tensor(0.3372),tensor(0.5302)
27,tensor(0.3233),tensor(0.4785)
28,tensor(0.2660),tensor(0.4203)
29,tensor(0.2052),tensor(0.3756)
30,tensor(0.1770),tensor(0.3413)
31,tensor(0.1907),tensor(0.3155)
32,tensor(0.2267),tensor(0.3024)
33,tensor(0.2534),tensor(0.3034)
34,tensor(0.2512),tensor(0.3171)
35,tensor(0.2238),tensor(0.3400)
36,tensor(0.1921),tensor(0.3667)
37,tensor(0.1768),tensor(0.3918)
38,tensor(0.1840),tensor(0.4172)
39,tensor(0.2028),tensor(0.4327)
40,tensor(0.2158),tensor(0.4295)
41,tensor(0.2129),tensor(0.4097)
42,tensor(0.1975),tensor(0.3884)
43,tensor(0.1818),tensor(0.3686)
44,tensor(0.1766),tensor(0.3510)
45,tensor(0.1829),tensor(0.3392)
46,tensor(0.1929),tensor(0.3352)
47,tensor(0.1972),tensor(0.3394)
