epoch,train_loss,train_mae
0,tensor(0.0261),tensor(1.3443)
1,tensor(1.8072),tensor(0.3520)
2,tensor(0.1241),tensor(0.6324)
3,tensor(0.4003),tensor(1.0064)
4,tensor(1.0132),tensor(0.8201)
5,tensor(0.6730),tensor(0.3526)
6,tensor(0.1247),tensor(0.1813)
7,tensor(0.0332),tensor(0.5841)
8,tensor(0.3414),tensor(0.7257)
9,tensor(0.5269),tensor(0.6097)
10,tensor(0.3720),tensor(0.3192)
11,tensor(0.1022),tensor(0.0382)
12,tensor(0.0018),tensor(0.3485)
13,tensor(0.1218),tensor(0.5187)
14,tensor(0.2695),tensor(0.5128)
15,tensor(0.2633),tensor(0.3550)
16,tensor(0.1264),tensor(0.1081)
17,tensor(0.0120),tensor(0.1483)
18,tensor(0.0223),tensor(0.3362)
19,tensor(0.1133),tensor(0.4041)
20,tensor(0.1636),tensor(0.3434)
21,tensor(0.1182),tensor(0.1850)
22,tensor(0.0345),tensor(0.0153)
23,tensor(0.0005),tensor(0.1930)
24,tensor(0.0376),tensor(0.2943)
25,tensor(0.0869),tensor(0.2938)
26,tensor(0.0867),tensor(0.2009)
27,tensor(0.0407),tensor(0.0526)
28,tensor(0.0031),tensor(0.0994)
29,tensor(0.0102),tensor(0.2055)
30,tensor(0.0425),tensor(0.2344)
31,tensor(0.0552),tensor(0.1830)
32,tensor(0.0338),tensor(0.0751)
33,tensor(0.0059),tensor(0.0485)
34,tensor(0.0027),tensor(0.1444)
35,tensor(0.0212),tensor(0.1817)
36,tensor(0.0333),tensor(0.1521)
37,tensor(0.0235),tensor(0.0716)
38,tensor(0.0054),tensor(0.0287)
39,tensor(0.0010),tensor(0.1073)
40,tensor(0.0118),tensor(0.1412)
41,tensor(0.0202),tensor(0.1200)
42,tensor(0.0147),tensor(0.0563)
43,tensor(0.0035),tensor(0.0228)
44,tensor(0.0008),tensor(0.0860)
45,tensor(0.0077),tensor(0.1106)
46,tensor(0.0125),tensor(0.0901)
47,tensor(0.0084),tensor(0.0363)
48,tensor(0.0016),tensor(0.0285)
49,tensor(0.0010),tensor(0.0736)
50,tensor(0.0057),tensor(0.0866)
51,tensor(0.0078),tensor(0.0633)
52,tensor(0.0043),tensor(0.0232)
53,tensor(0.0006),tensor(0.0331)
54,tensor(0.0014),tensor(0.0642)
55,tensor(0.0044),tensor(0.0654)
56,tensor(0.0046),tensor(0.0388)
57,tensor(0.0018),tensor(0.0161)
58,tensor(0.0003),tensor(0.0381)
59,tensor(0.0018),tensor(0.0544)
60,tensor(0.0033),tensor(0.0453)
61,tensor(0.0024),tensor(0.0237)
62,tensor(0.0006),tensor(0.0161)
63,tensor(0.0006),tensor(0.0390)
64,tensor(0.0018),tensor(0.0421)
65,tensor(0.0021),tensor(0.0257)
66,tensor(0.0010),tensor(0.0156)
67,tensor(0.0003),tensor(0.0274)
68,tensor(0.0009),tensor(0.0348)
69,tensor(0.0015),tensor(0.0288)
70,tensor(0.0011),tensor(0.0191)
71,tensor(0.0004),tensor(0.0135)
72,tensor(0.0005),tensor(0.0265)
73,tensor(0.0010),tensor(0.0255)
74,tensor(0.0010),tensor(0.0121)
75,tensor(0.0005),tensor(0.0181)
76,tensor(0.0003),tensor(0.0248)
77,tensor(0.0007),tensor(0.0261)
78,tensor(0.0008),tensor(0.0218)
79,tensor(0.0005),tensor(0.0146)
80,tensor(0.0003),tensor(0.0137)
81,tensor(0.0005),tensor(0.0180)
82,tensor(0.0006),tensor(0.0127)
83,tensor(0.0005),tensor(0.0145)
84,tensor(0.0003),tensor(0.0200)
85,tensor(0.0004),tensor(0.0224)
86,tensor(0.0005),tensor(0.0208)
87,tensor(0.0004),tensor(0.0164)
88,tensor(0.0003),tensor(0.0117)
89,tensor(0.0004),tensor(0.0117)
90,tensor(0.0004),tensor(0.0103)
91,tensor(0.0004),tensor(0.0138)
92,tensor(0.0003),tensor(0.0177)
93,tensor(0.0003),tensor(0.0199)
94,tensor(0.0004),tensor(0.0192)
95,tensor(0.0004),tensor(0.0164)
96,tensor(0.0003),tensor(0.0131)
97,tensor(0.0003),tensor(0.0113)
98,tensor(0.0004),tensor(0.0118)
99,tensor(0.0003),tensor(0.0142)
100,tensor(0.0003),tensor(0.0168)
101,tensor(0.0003),tensor(0.0183)
102,tensor(0.0003),tensor(0.0178)
103,tensor(0.0003),tensor(0.0158)
104,tensor(0.0003),tensor(0.0137)
105,tensor(0.0003),tensor(0.0126)
106,tensor(0.0003),tensor(0.0131)
107,tensor(0.0003),tensor(0.0148)
108,tensor(0.0003),tensor(0.0165)
109,tensor(0.0003),tensor(0.0173)
110,tensor(0.0003),tensor(0.0167)
111,tensor(0.0003),tensor(0.0152)
112,tensor(0.0003),tensor(0.0139)
113,tensor(0.0003),tensor(0.0134)
114,tensor(0.0003),tensor(0.0140)
115,tensor(0.0003),tensor(0.0153)
116,tensor(0.0003),tensor(0.0163)
117,tensor(0.0003),tensor(0.0166)
118,tensor(0.0003),tensor(0.0159)
119,tensor(0.0003),tensor(0.0148)
120,tensor(0.0003),tensor(0.0141)
121,tensor(0.0003),tensor(0.0141)
122,tensor(0.0003),tensor(0.0148)
123,tensor(0.0003),tensor(0.0156)
124,tensor(0.0003),tensor(0.0161)
125,tensor(0.0003),tensor(0.0159)
126,tensor(0.0003),tensor(0.0153)
127,tensor(0.0003),tensor(0.0146)
128,tensor(0.0003),tensor(0.0143)
129,tensor(0.0003),tensor(0.0146)
130,tensor(0.0003),tensor(0.0152)
131,tensor(0.0003),tensor(0.0157)
132,tensor(0.0003),tensor(0.0158)
133,tensor(0.0003),tensor(0.0154)
134,tensor(0.0003),tensor(0.0149)
135,tensor(0.0003),tensor(0.0146)
136,tensor(0.0003),tensor(0.0147)
137,tensor(0.0003),tensor(0.0151)
138,tensor(0.0003),tensor(0.0155)
139,tensor(0.0003),tensor(0.0156)
140,tensor(0.0003),tensor(0.0154)
141,tensor(0.0003),tensor(0.0151)
142,tensor(0.0003),tensor(0.0148)
143,tensor(0.0003),tensor(0.0148)
144,tensor(0.0003),tensor(0.0150)
145,tensor(0.0003),tensor(0.0153)
146,tensor(0.0003),tensor(0.0155)
147,tensor(0.0003),tensor(0.0154)
148,tensor(0.0003),tensor(0.0151)
149,tensor(0.0003),tensor(0.0149)
150,tensor(0.0003),tensor(0.0149)
151,tensor(0.0003),tensor(0.0151)
152,tensor(0.0003),tensor(0.0153)
153,tensor(0.0003),tensor(0.0154)
154,tensor(0.0003),tensor(0.0153)
155,tensor(0.0003),tensor(0.0151)
156,tensor(0.0003),tensor(0.0150)
157,tensor(0.0003),tensor(0.0150)
158,tensor(0.0003),tensor(0.0151)
159,tensor(0.0003),tensor(0.0152)
160,tensor(0.0003),tensor(0.0153)
161,tensor(0.0003),tensor(0.0153)
162,tensor(0.0003),tensor(0.0151)
163,tensor(0.0003),tensor(0.0150)
164,tensor(0.0003),tensor(0.0150)
165,tensor(0.0003),tensor(0.0151)
166,tensor(0.0003),tensor(0.0152)
167,tensor(0.0003),tensor(0.0153)
168,tensor(0.0003),tensor(0.0152)
169,tensor(0.0003),tensor(0.0151)
170,tensor(0.0003),tensor(0.0151)
171,tensor(0.0003),tensor(0.0151)
172,tensor(0.0003),tensor(0.0151)
173,tensor(0.0003),tensor(0.0152)
174,tensor(0.0003),tensor(0.0152)
175,tensor(0.0003),tensor(0.0152)
176,tensor(0.0003),tensor(0.0151)
177,tensor(0.0003),tensor(0.0151)
178,tensor(0.0003),tensor(0.0151)
179,tensor(0.0003),tensor(0.0152)
180,tensor(0.0003),tensor(0.0152)
181,tensor(0.0003),tensor(0.0152)
182,tensor(0.0003),tensor(0.0152)
183,tensor(0.0003),tensor(0.0151)
184,tensor(0.0003),tensor(0.0151)
185,tensor(0.0003),tensor(0.0151)
186,tensor(0.0003),tensor(0.0152)
187,tensor(0.0003),tensor(0.0152)
188,tensor(0.0003),tensor(0.0152)
189,tensor(0.0003),tensor(0.0151)
190,tensor(0.0003),tensor(0.0151)
191,tensor(0.0003),tensor(0.0151)
192,tensor(0.0003),tensor(0.0151)
193,tensor(0.0003),tensor(0.0152)
194,tensor(0.0003),tensor(0.0152)
195,tensor(0.0003),tensor(0.0152)
196,tensor(0.0003),tensor(0.0151)
197,tensor(0.0003),tensor(0.0151)
198,tensor(0.0003),tensor(0.0151)
199,tensor(0.0003),tensor(0.0152)
200,tensor(0.0003),tensor(0.0152)
201,tensor(0.0003),tensor(0.0152)
202,tensor(0.0003),tensor(0.0152)
203,tensor(0.0003),tensor(0.0151)
204,tensor(0.0003),tensor(0.0151)
205,tensor(0.0003),tensor(0.0151)
206,tensor(0.0003),tensor(0.0152)
207,tensor(0.0003),tensor(0.0152)
208,tensor(0.0003),tensor(0.0152)
209,tensor(0.0003),tensor(0.0151)
210,tensor(0.0003),tensor(0.0151)
211,tensor(0.0003),tensor(0.0151)
212,tensor(0.0003),tensor(0.0152)
213,tensor(0.0003),tensor(0.0152)
214,tensor(0.0003),tensor(0.0152)
215,tensor(0.0003),tensor(0.0151)
216,tensor(0.0003),tensor(0.0151)
217,tensor(0.0003),tensor(0.0151)
218,tensor(0.0003),tensor(0.0152)
219,tensor(0.0003),tensor(0.0152)
220,tensor(0.0003),tensor(0.0152)
221,tensor(0.0003),tensor(0.0152)
222,tensor(0.0003),tensor(0.0151)
223,tensor(0.0003),tensor(0.0151)
224,tensor(0.0003),tensor(0.0151)
225,tensor(0.0003),tensor(0.0152)
226,tensor(0.0003),tensor(0.0152)
227,tensor(0.0003),tensor(0.0152)
228,tensor(0.0003),tensor(0.0151)
