epoch,train_loss,train_mae
0,tensor(1.4593),tensor(1.2350)
1,tensor(1.7746),tensor(1.1320)
2,tensor(1.4741),tensor(1.0655)
3,tensor(1.5044),tensor(1.0248)
4,tensor(1.5952),tensor(1.0169)
5,tensor(1.5360),tensor(1.0332)
6,tensor(1.4271),tensor(1.0645)
7,tensor(1.3773),tensor(1.0958)
8,tensor(1.4016),tensor(1.1088)
9,tensor(1.4272),tensor(1.0932)
10,tensor(1.3987),tensor(1.0511)
11,tensor(1.3426),tensor(0.9938)
12,tensor(1.3186),tensor(0.9405)
13,tensor(1.3440),tensor(0.9175)
14,tensor(1.3697),tensor(0.9184)
15,tensor(1.3538),tensor(0.9588)
16,tensor(1.3195),tensor(1.0096)
17,tensor(1.3125),tensor(1.0495)
18,tensor(1.3356),tensor(1.0629)
19,tensor(1.3489),tensor(1.0476)
20,tensor(1.3331),tensor(1.0132)
21,tensor(1.3143),tensor(0.9762)
22,tensor(1.3189),tensor(0.9534)
23,tensor(1.3353),tensor(0.9543)
24,tensor(1.3356),tensor(0.9765)
25,tensor(1.3210),tensor(1.0084)
26,tensor(1.3149),tensor(1.0350)
27,tensor(1.3240),tensor(1.0445)
28,tensor(1.3303),tensor(1.0340)
29,tensor(1.3234),tensor(1.0101)
30,tensor(1.3149),tensor(0.9848)
31,tensor(1.3170),tensor(0.9700)
32,tensor(1.3231),tensor(0.9715)
33,tensor(1.3215),tensor(0.9869)
34,tensor(1.3148),tensor(1.0073)
35,tensor(1.3132),tensor(1.0223)
36,tensor(1.3170),tensor(1.0248)
37,tensor(1.3180),tensor(1.0143)
38,tensor(1.3140),tensor(0.9968)
39,tensor(1.3112),tensor(0.9808)
40,tensor(1.3130),tensor(0.9736)
41,tensor(1.3148),tensor(0.9776)
42,tensor(1.3130),tensor(0.9895)
43,tensor(1.3106),tensor(1.0025)
44,tensor(1.3110),tensor(1.0099)
45,tensor(1.3127),tensor(1.0083)
46,tensor(1.3124),tensor(0.9991)
47,tensor(1.3107),tensor(0.9873)
48,tensor(1.3105),tensor(0.9787)
49,tensor(1.3117),tensor(0.9772)
50,tensor(1.3120),tensor(0.9828)
51,tensor(1.3111),tensor(0.9919)
52,tensor(1.3106),tensor(0.9996)
53,tensor(1.3113),tensor(1.0021)
54,tensor(1.3117),tensor(0.9985)
55,tensor(1.3111),tensor(0.9911)
56,tensor(1.3106),tensor(0.9842)
57,tensor(1.3109),tensor(0.9813)
58,tensor(1.3113),tensor(0.9837)
59,tensor(1.3109),tensor(0.9898)
60,tensor(1.3105),tensor(0.9959)
61,tensor(1.3106),tensor(0.9989)
62,tensor(1.3109),tensor(0.9974)
63,tensor(1.3107),tensor(0.9928)
64,tensor(1.3103),tensor(0.9880)
65,tensor(1.3104),tensor(0.9858)
66,tensor(1.3106),tensor(0.9875)
67,tensor(1.3105),tensor(0.9918)
68,tensor(1.3103),tensor(0.9961)
69,tensor(1.3104),tensor(0.9979)
70,tensor(1.3105),tensor(0.9964)
71,tensor(1.3104),tensor(0.9929)
72,tensor(1.3103),tensor(0.9898)
73,tensor(1.3104),tensor(0.9890)
74,tensor(1.3104),tensor(0.9908)
75,tensor(1.3103),tensor(0.9940)
76,tensor(1.3103),tensor(0.9964)
77,tensor(1.3104),tensor(0.9966)
78,tensor(1.3104),tensor(0.9946)
