epoch,train_loss,train_mae
0,tensor(0.9592),tensor(0.4245)
1,tensor(0.2148),tensor(0.2129)
2,tensor(0.0561),tensor(0.4453)
3,tensor(0.2429),tensor(0.5635)
4,tensor(0.3884),tensor(0.5336)
5,tensor(0.3543),tensor(0.4285)
6,tensor(0.2210),tensor(0.3003)
7,tensor(0.0971),tensor(0.1645)
8,tensor(0.0484),tensor(0.2015)
9,tensor(0.0801),tensor(0.3302)
10,tensor(0.1466),tensor(0.3936)
11,tensor(0.1905),tensor(0.3850)
12,tensor(0.1841),tensor(0.3168)
13,tensor(0.1383),tensor(0.2083)
14,tensor(0.0845),tensor(0.1479)
15,tensor(0.0520),tensor(0.1986)
16,tensor(0.0527),tensor(0.2674)
17,tensor(0.0776),tensor(0.3109)
18,tensor(0.1045),tensor(0.3241)
19,tensor(0.1144),tensor(0.3080)
20,tensor(0.1024),tensor(0.2680)
21,tensor(0.0779),tensor(0.2130)
22,tensor(0.0561),tensor(0.1611)
23,tensor(0.0483),tensor(0.1514)
24,tensor(0.0555),tensor(0.1827)
25,tensor(0.0693),tensor(0.1994)
26,tensor(0.0788),tensor(0.1973)
27,tensor(0.0775),tensor(0.1784)
28,tensor(0.0672),tensor(0.1511)
29,tensor(0.0551),tensor(0.1571)
30,tensor(0.0486),tensor(0.1839)
31,tensor(0.0503),tensor(0.2159)
32,tensor(0.0569),tensor(0.2335)
33,tensor(0.0626),tensor(0.2348)
34,tensor(0.0631),tensor(0.2207)
35,tensor(0.0583),tensor(0.1953)
36,tensor(0.0521),tensor(0.1655)
37,tensor(0.0485),tensor(0.1536)
38,tensor(0.0493),tensor(0.1487)
39,tensor(0.0527),tensor(0.1516)
40,tensor(0.0556),tensor(0.1516)
41,tensor(0.0556),tensor(0.1489)
42,tensor(0.0529),tensor(0.1519)
43,tensor(0.0497),tensor(0.1610)
44,tensor(0.0483),tensor(0.1743)
45,tensor(0.0492),tensor(0.1896)
46,tensor(0.0511),tensor(0.1960)
47,tensor(0.0522),tensor(0.1928)
48,tensor(0.0517),tensor(0.1816)
49,tensor(0.0500),tensor(0.1660)
50,tensor(0.0486),tensor(0.1593)
51,tensor(0.0484),tensor(0.1537)
52,tensor(0.0493),tensor(0.1505)
53,tensor(0.0502),tensor(0.1501)
54,tensor(0.0503),tensor(0.1525)
55,tensor(0.0496),tensor(0.1568)
56,tensor(0.0487),tensor(0.1619)
57,tensor(0.0483),tensor(0.1666)
58,tensor(0.0486),tensor(0.1743)
59,tensor(0.0492),tensor(0.1765)
60,tensor(0.0494),tensor(0.1732)
61,tensor(0.0491),tensor(0.1661)
62,tensor(0.0486),tensor(0.1623)
63,tensor(0.0483),tensor(0.1587)
64,tensor(0.0484),tensor(0.1563)
65,tensor(0.0487),tensor(0.1554)
66,tensor(0.0489),tensor(0.1562)
