epoch,train_loss,train_mae
0,tensor(2.0704),tensor(1.4369)
1,tensor(2.0704),tensor(1.4369)
2,tensor(2.0704),tensor(1.4369)
3,tensor(2.0704),tensor(1.4369)
4,tensor(2.0704),tensor(1.4369)
5,tensor(2.0704),tensor(1.4369)
6,tensor(2.0704),tensor(1.4369)
7,tensor(2.0704),tensor(1.4369)
8,tensor(2.0704),tensor(1.4369)
9,tensor(2.0704),tensor(1.4369)
10,tensor(2.0704),tensor(1.4369)
11,tensor(2.0704),tensor(1.4369)
12,tensor(2.0704),tensor(1.4369)
13,tensor(2.0704),tensor(1.4369)
14,tensor(2.0704),tensor(1.4369)
15,tensor(2.0704),tensor(1.4369)
16,tensor(2.0704),tensor(1.4369)
17,tensor(2.0704),tensor(1.4369)
18,tensor(2.0704),tensor(1.4369)
19,tensor(2.0704),tensor(1.4369)
20,tensor(2.0704),tensor(1.4369)
21,tensor(2.0704),tensor(1.4369)
22,tensor(2.0704),tensor(1.4369)
23,tensor(2.0704),tensor(1.4369)
24,tensor(2.0704),tensor(1.4369)
25,tensor(2.0704),tensor(1.4369)
26,tensor(2.0704),tensor(1.4369)
27,tensor(2.0704),tensor(1.4369)
28,tensor(2.0704),tensor(1.4369)
29,tensor(2.0704),tensor(1.4369)
30,tensor(2.0704),tensor(1.4369)
31,tensor(2.0704),tensor(1.4369)
32,tensor(2.0704),tensor(1.4369)
33,tensor(2.0704),tensor(1.4369)
34,tensor(2.0704),tensor(1.4369)
35,tensor(2.0704),tensor(1.4369)
36,tensor(2.0704),tensor(1.4369)
37,tensor(2.0704),tensor(1.4369)
38,tensor(2.0704),tensor(1.4369)
39,tensor(2.0704),tensor(1.4369)
40,tensor(2.0704),tensor(1.4369)
41,tensor(2.0704),tensor(1.4369)
42,tensor(2.0704),tensor(1.4369)
43,tensor(2.0704),tensor(1.4369)
44,tensor(2.0704),tensor(1.4369)
45,tensor(2.0704),tensor(1.4369)
46,tensor(2.0704),tensor(1.4369)
47,tensor(2.0704),tensor(1.4369)
48,tensor(2.0704),tensor(1.4369)
49,tensor(2.0704),tensor(1.4369)
50,tensor(2.0704),tensor(1.4369)
51,tensor(2.0704),tensor(1.4369)
52,tensor(2.0704),tensor(1.4369)
53,tensor(2.0704),tensor(1.4369)
54,tensor(2.0704),tensor(1.4369)
55,tensor(2.0704),tensor(1.4369)
56,tensor(2.0704),tensor(1.4369)
57,tensor(2.0704),tensor(1.4369)
58,tensor(2.0704),tensor(1.4369)
59,tensor(2.0704),tensor(1.4369)
60,tensor(2.0704),tensor(1.4369)
61,tensor(2.0704),tensor(1.4369)
62,tensor(2.0704),tensor(1.4369)
63,tensor(2.0704),tensor(1.4369)
64,tensor(2.0704),tensor(1.4369)
65,tensor(2.0704),tensor(1.4369)
66,tensor(2.0704),tensor(1.4369)
67,tensor(2.0704),tensor(1.4369)
68,tensor(2.0704),tensor(1.4369)
69,tensor(2.0704),tensor(1.4369)
70,tensor(2.0704),tensor(1.4369)
71,tensor(2.0704),tensor(1.4369)
72,tensor(2.0704),tensor(1.4369)
73,tensor(2.0704),tensor(1.4369)
74,tensor(2.0704),tensor(1.4369)
75,tensor(2.0704),tensor(1.4369)
76,tensor(2.0704),tensor(1.4369)
77,tensor(2.0704),tensor(1.4369)
78,tensor(2.0704),tensor(1.4369)
79,tensor(2.0704),tensor(1.4369)
80,tensor(2.0704),tensor(1.4369)
81,tensor(2.0704),tensor(1.4369)
82,tensor(2.0704),tensor(1.4369)
83,tensor(2.0704),tensor(1.4369)
84,tensor(2.0704),tensor(1.4369)
85,tensor(2.0704),tensor(1.4369)
86,tensor(2.0704),tensor(1.4369)
87,tensor(2.0704),tensor(1.4369)
88,tensor(2.0704),tensor(1.4369)
89,tensor(2.0704),tensor(1.4369)
90,tensor(2.0704),tensor(1.4369)
91,tensor(2.0704),tensor(1.4369)
92,tensor(2.0704),tensor(1.4369)
93,tensor(2.0704),tensor(1.4369)
94,tensor(2.0704),tensor(1.4369)
95,tensor(2.0704),tensor(1.4369)
96,tensor(2.0704),tensor(1.4369)
97,tensor(2.0704),tensor(1.4369)
98,tensor(2.0704),tensor(1.4369)
99,tensor(2.0704),tensor(1.4369)
100,tensor(2.0704),tensor(1.4369)
101,tensor(2.0704),tensor(1.4369)
102,tensor(2.0704),tensor(1.4369)
103,tensor(2.0704),tensor(1.4369)
104,tensor(2.0704),tensor(1.4369)
105,tensor(2.0704),tensor(1.4369)
106,tensor(2.0704),tensor(1.4369)
107,tensor(2.0704),tensor(1.4369)
108,tensor(2.0704),tensor(1.4369)
109,tensor(2.0704),tensor(1.4369)
110,tensor(2.0704),tensor(1.4369)
111,tensor(2.0704),tensor(1.4369)
112,tensor(2.0704),tensor(1.4369)
113,tensor(2.0704),tensor(1.4369)
114,tensor(2.0704),tensor(1.4369)
115,tensor(2.0704),tensor(1.4369)
116,tensor(2.0704),tensor(1.4369)
117,tensor(2.0704),tensor(1.4369)
118,tensor(2.0704),tensor(1.4369)
119,tensor(2.0704),tensor(1.4369)
120,tensor(2.0704),tensor(1.4369)
121,tensor(2.0704),tensor(1.4369)
122,tensor(2.0704),tensor(1.4369)
123,tensor(2.0704),tensor(1.4369)
124,tensor(2.0704),tensor(1.4369)
125,tensor(2.0704),tensor(1.4369)
126,tensor(2.0704),tensor(1.4369)
127,tensor(2.0704),tensor(1.4369)
128,tensor(2.0704),tensor(1.4369)
129,tensor(2.0704),tensor(1.4369)
130,tensor(2.0704),tensor(1.4369)
131,tensor(2.0704),tensor(1.4369)
132,tensor(2.0704),tensor(1.4369)
133,tensor(2.0704),tensor(1.4369)
134,tensor(2.0704),tensor(1.4369)
135,tensor(2.0704),tensor(1.4369)
136,tensor(2.0704),tensor(1.4369)
137,tensor(2.0704),tensor(1.4369)
138,tensor(2.0704),tensor(1.4369)
139,tensor(2.0704),tensor(1.4369)
140,tensor(2.0704),tensor(1.4369)
141,tensor(2.0704),tensor(1.4369)
142,tensor(2.0704),tensor(1.4369)
143,tensor(2.0704),tensor(1.4369)
144,tensor(2.0704),tensor(1.4369)
145,tensor(2.0704),tensor(1.4369)
146,tensor(2.0704),tensor(1.4369)
147,tensor(2.0704),tensor(1.4369)
148,tensor(2.0704),tensor(1.4369)
149,tensor(2.0704),tensor(1.4369)
150,tensor(2.0704),tensor(1.4369)
151,tensor(2.0704),tensor(1.4369)
152,tensor(2.0704),tensor(1.4369)
153,tensor(2.0704),tensor(1.4369)
154,tensor(2.0704),tensor(1.4369)
155,tensor(2.0704),tensor(1.4369)
156,tensor(2.0704),tensor(1.4369)
157,tensor(2.0704),tensor(1.4369)
158,tensor(2.0704),tensor(1.4369)
159,tensor(2.0704),tensor(1.4369)
160,tensor(2.0704),tensor(1.4369)
161,tensor(2.0704),tensor(1.4369)
162,tensor(2.0704),tensor(1.4369)
163,tensor(2.0704),tensor(1.4369)
164,tensor(2.0704),tensor(1.4369)
165,tensor(2.0704),tensor(1.4369)
166,tensor(2.0704),tensor(1.4369)
167,tensor(2.0704),tensor(1.4369)
168,tensor(2.0704),tensor(1.4369)
169,tensor(2.0704),tensor(1.4369)
170,tensor(2.0704),tensor(1.4369)
171,tensor(2.0704),tensor(1.4369)
172,tensor(2.0704),tensor(1.4369)
173,tensor(2.0704),tensor(1.4369)
174,tensor(2.0704),tensor(1.4369)
175,tensor(2.0704),tensor(1.4369)
176,tensor(2.0704),tensor(1.4369)
177,tensor(2.0704),tensor(1.4369)
178,tensor(2.0704),tensor(1.4369)
179,tensor(2.0704),tensor(1.4369)
180,tensor(2.0704),tensor(1.4369)
181,tensor(2.0704),tensor(1.4369)
182,tensor(2.0704),tensor(1.4369)
183,tensor(2.0704),tensor(1.4369)
184,tensor(2.0704),tensor(1.4369)
185,tensor(2.0704),tensor(1.4369)
186,tensor(2.0704),tensor(1.4369)
187,tensor(2.0704),tensor(1.4369)
188,tensor(2.0704),tensor(1.4369)
189,tensor(2.0704),tensor(1.4369)
190,tensor(2.0704),tensor(1.4369)
191,tensor(2.0704),tensor(1.4369)
192,tensor(2.0704),tensor(1.4369)
193,tensor(2.0704),tensor(1.4369)
194,tensor(2.0704),tensor(1.4369)
195,tensor(2.0704),tensor(1.4369)
196,tensor(2.0704),tensor(1.4369)
197,tensor(2.0704),tensor(1.4369)
198,tensor(2.0704),tensor(1.4369)
199,tensor(2.0704),tensor(1.4369)
