participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_bias_0,trained_bias_0
54,0.8184633255004883,0.41049420833587646,196.0,7.0,279.0,0.8625016808509827,0.9734403491020203,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
55,0.7383482456207275,0.37764105200767517,143.0,8.0,233.0,0.6059380173683167,0.9552198648452759,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
56,0.19554941356182098,0.37065282464027405,147.0,29.0,277.0,0.27747949957847595,0.940729022026062,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
57,0.31573158502578735,0.41991469264030457,103.0,1.0,223.0,1.490699291229248,0.7711553573608398,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
58,0.3873452842235565,0.4760109782218933,125.0,13.0,233.0,1.4071325063705444,0.9033803343772888,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
59,0.5081335306167603,0.5694001317024231,155.0,5.0,267.0,1.4572726488113403,0.854315459728241,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
60,,,,,,0.32876187562942505,0.32876187562942505,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
61,0.5550665259361267,0.630854606628418,182.0,17.0,278.0,-1.4445323944091797,0.9064908623695374,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
62,0.12020883709192276,0.27447187900543213,138.0,7.0,229.0,1.7147663831710815,0.940401017665863,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
63,0.5381441116333008,0.547511100769043,113.0,21.0,248.0,1.3560117483139038,-0.8225487470626831,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
64,0.7817608714103699,0.7642847299575806,90.0,0.0,241.0,0.540759801864624,0.9342893958091736,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
65,0.3488924205303192,0.3237520456314087,256.0,23.0,268.0,-1.1348588466644287,0.9820160865783691,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
66,0.1324595808982849,0.2905925512313843,208.0,38.0,233.0,-1.1809043884277344,0.974295437335968,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
67,0.0003050274681299925,0.010285645723342896,220.0,90.0,257.0,1.1067790985107422,0.9999651312828064,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
68,0.35993167757987976,0.2664848268032074,190.0,33.0,251.0,-0.8572201728820801,0.9912657737731934,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
69,0.15448009967803955,0.31057649850845337,220.0,42.0,234.0,-0.7639155387878418,-4.275427341461182,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
70,1.9363418817520142,1.3915250301361084,0.0,0.0,199.0,1.3649951219558716,1.3649951219558716,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
71,0.1265166997909546,0.26443010568618774,142.0,32.0,256.0,1.195648431777954,0.9252265691757202,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
72,0.8162725567817688,0.7770009636878967,120.0,2.0,228.0,-1.4821956157684326,-3.086676836013794,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
73,1.5076931715011597,0.9449838995933533,169.0,1.0,267.0,0.21107187867164612,0.8116618990898132,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
74,0.25258901715278625,0.19945821166038513,192.0,39.0,269.0,-1.191311240196228,0.9911391735076904,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
75,1.4583899974822998,0.7163668870925903,139.0,3.0,267.0,-1.640118956565857,0.8911927938461304,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
76,0.00820954330265522,0.08598613739013672,185.0,35.0,264.0,-0.5307756066322327,0.9936130046844482,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
77,0.25675827264785767,0.16298457980155945,199.0,15.0,243.0,-0.7518863677978516,0.9875091910362244,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
78,0.9737613201141357,0.7770713567733765,147.0,13.0,210.0,1.4403600692749023,0.4123411178588867,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
79,0.12217215448617935,0.19690410792827606,241.0,23.0,253.0,1.6348259449005127,0.988678514957428,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
80,0.5112266540527344,0.6549795866012573,112.0,18.0,273.0,-0.742117166519165,0.9524961709976196,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
81,1.3828970193862915,1.005592703819275,55.0,4.0,242.0,1.3710391521453857,0.8302125334739685,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
82,0.6748793721199036,0.4303648769855499,126.0,4.0,266.0,1.2829539775848389,0.9647248983383179,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
83,,,,,,0.7196981310844421,0.7196981310844421,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
84,0.4660918712615967,0.5149490237236023,190.0,24.0,244.0,1.038895606994629,0.8041741251945496,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
85,0.2232402265071869,0.39822664856910706,122.0,21.0,229.0,0.9156315922737122,0.9058846831321716,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
86,,,,,,1.13546884059906,1.13546884059906,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
87,0.022814182564616203,0.14436495304107666,256.0,32.0,281.0,-1.145326852798462,0.9944755434989929,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
