epoch,train_loss,train_mae
0,tensor(0.2283),tensor(0.3731)
1,tensor(0.2302),tensor(0.2274)
2,tensor(0.1602),tensor(0.3103)
3,tensor(0.1771),tensor(0.3660)
4,tensor(0.2110),tensor(0.3410)
5,tensor(0.1860),tensor(0.2758)
6,tensor(0.1515),tensor(0.2215)
7,tensor(0.1495),tensor(0.2445)
8,tensor(0.1662),tensor(0.2386)
9,tensor(0.1708),tensor(0.2211)
10,tensor(0.1619),tensor(0.2578)
11,tensor(0.1552),tensor(0.2989)
12,tensor(0.1570),tensor(0.3166)
13,tensor(0.1582),tensor(0.3069)
14,tensor(0.1527),tensor(0.2777)
15,tensor(0.1469),tensor(0.2411)
16,tensor(0.1480),tensor(0.2211)
17,tensor(0.1543),tensor(0.2238)
18,tensor(0.1568),tensor(0.2211)
19,tensor(0.1520),tensor(0.2364)
20,tensor(0.1455),tensor(0.2649)
21,tensor(0.1441),tensor(0.2860)
22,tensor(0.1476),tensor(0.2916)
23,tensor(0.1501),tensor(0.2808)
24,tensor(0.1488),tensor(0.2594)
25,tensor(0.1463),tensor(0.2369)
26,tensor(0.1459),tensor(0.2226)
27,tensor(0.1467),tensor(0.2219)
28,tensor(0.1463),tensor(0.2340)
29,tensor(0.1448),tensor(0.2528)
30,tensor(0.1445),tensor(0.2694)
31,tensor(0.1459),tensor(0.2769)
32,tensor(0.1466),tensor(0.2726)
33,tensor(0.1454),tensor(0.2595)
34,tensor(0.1438),tensor(0.2443)
35,tensor(0.1437),tensor(0.2341)
36,tensor(0.1448),tensor(0.2329)
37,tensor(0.1453),tensor(0.2406)
38,tensor(0.1446),tensor(0.2529)
39,tensor(0.1440),tensor(0.2636)
40,tensor(0.1440),tensor(0.2678)
41,tensor(0.1442),tensor(0.2642)
42,tensor(0.1441),tensor(0.2549)
43,tensor(0.1438),tensor(0.2449)
44,tensor(0.1440),tensor(0.2393)
45,tensor(0.1442),tensor(0.2404)
46,tensor(0.1440),tensor(0.2474)
47,tensor(0.1435),tensor(0.2561)
48,tensor(0.1436),tensor(0.2619)
49,tensor(0.1439),tensor(0.2620)
50,tensor(0.1439),tensor(0.2568)
51,tensor(0.1436),tensor(0.2496)
52,tensor(0.1435),tensor(0.2443)
53,tensor(0.1436),tensor(0.2437)
54,tensor(0.1437),tensor(0.2476)
55,tensor(0.1436),tensor(0.2535)
56,tensor(0.1435),tensor(0.2580)
57,tensor(0.1436),tensor(0.2587)
58,tensor(0.1436),tensor(0.2556)
59,tensor(0.1435),tensor(0.2507)
60,tensor(0.1435),tensor(0.2470)
61,tensor(0.1436),tensor(0.2465)
62,tensor(0.1435),tensor(0.2492)
63,tensor(0.1435),tensor(0.2534)
64,tensor(0.1435),tensor(0.2563)
65,tensor(0.1435),tensor(0.2563)
66,tensor(0.1435),tensor(0.2537)
67,tensor(0.1434),tensor(0.2503)
68,tensor(0.1434),tensor(0.2483)
69,tensor(0.1435),tensor(0.2487)
70,tensor(0.1435),tensor(0.2511)
71,tensor(0.1434),tensor(0.2538)
