epoch,train_loss,train_mae
0,tensor(0.2002),tensor(0.7200)
1,tensor(0.6352),tensor(0.3399)
2,tensor(0.2006),tensor(0.3761)
3,tensor(0.2816),tensor(0.5010)
4,tensor(0.4420),tensor(0.4477)
5,tensor(0.3581),tensor(0.3218)
6,tensor(0.2100),tensor(0.3085)
7,tensor(0.1702),tensor(0.3920)
8,tensor(0.2423),tensor(0.4415)
9,tensor(0.3047),tensor(0.4231)
10,tensor(0.2802),tensor(0.3553)
11,tensor(0.2091),tensor(0.3033)
12,tensor(0.1671),tensor(0.3014)
13,tensor(0.1839),tensor(0.3312)
14,tensor(0.2251),tensor(0.3423)
15,tensor(0.2395),tensor(0.3245)
16,tensor(0.2144),tensor(0.2952)
17,tensor(0.1789),tensor(0.3038)
18,tensor(0.1666),tensor(0.3168)
19,tensor(0.1821),tensor(0.3498)
20,tensor(0.2025),tensor(0.3505)
21,tensor(0.2036),tensor(0.3218)
22,tensor(0.1854),tensor(0.3044)
23,tensor(0.1680),tensor(0.2947)
24,tensor(0.1674),tensor(0.2972)
25,tensor(0.1797),tensor(0.3062)
26,tensor(0.1882),tensor(0.3019)
27,tensor(0.1834),tensor(0.2928)
28,tensor(0.1715),tensor(0.3014)
29,tensor(0.1653),tensor(0.3093)
30,tensor(0.1694),tensor(0.3127)
31,tensor(0.1763),tensor(0.3115)
32,tensor(0.1775),tensor(0.3067)
33,tensor(0.1718),tensor(0.3004)
34,tensor(0.1658),tensor(0.2949)
35,tensor(0.1655),tensor(0.2921)
36,tensor(0.1698),tensor(0.2921)
37,tensor(0.1726),tensor(0.2939)
38,tensor(0.1703),tensor(0.2982)
39,tensor(0.1664),tensor(0.3035)
40,tensor(0.1652),tensor(0.3078)
41,tensor(0.1674),tensor(0.3087)
42,tensor(0.1690),tensor(0.3059)
43,tensor(0.1678),tensor(0.3010)
44,tensor(0.1657),tensor(0.2963)
45,tensor(0.1650),tensor(0.2938)
46,tensor(0.1658),tensor(0.2942)
47,tensor(0.1668),tensor(0.2967)
48,tensor(0.1666),tensor(0.2996)
49,tensor(0.1654),tensor(0.3028)
50,tensor(0.1650),tensor(0.3054)
51,tensor(0.1657),tensor(0.3065)
52,tensor(0.1663),tensor(0.3057)
53,tensor(0.1659),tensor(0.3018)
54,tensor(0.1646),tensor(0.2972)
55,tensor(0.1646),tensor(0.2942)
56,tensor(0.1655),tensor(0.2942)
57,tensor(0.1655),tensor(0.2969)
58,tensor(0.1648),tensor(0.3005)
59,tensor(0.1645),tensor(0.3032)
60,tensor(0.1649),tensor(0.3037)
61,tensor(0.1650),tensor(0.3022)
62,tensor(0.1648),tensor(0.2997)
63,tensor(0.1646),tensor(0.2975)
64,tensor(0.1646),tensor(0.2968)
65,tensor(0.1647),tensor(0.2977)
66,tensor(0.1646),tensor(0.2994)
67,tensor(0.1646),tensor(0.3009)
68,tensor(0.1646),tensor(0.3014)
69,tensor(0.1645),tensor(0.3010)
70,tensor(0.1645),tensor(0.2999)
71,tensor(0.1646),tensor(0.2990)
72,tensor(0.1646),tensor(0.2987)
73,tensor(0.1644),tensor(0.2990)
74,tensor(0.1644),tensor(0.2996)
75,tensor(0.1645),tensor(0.3000)
76,tensor(0.1645),tensor(0.3001)
77,tensor(0.1644),tensor(0.2998)
78,tensor(0.1644),tensor(0.2995)
79,tensor(0.1644),tensor(0.2995)
80,tensor(0.1645),tensor(0.2997)
81,tensor(0.1644),tensor(0.2999)
82,tensor(0.1644),tensor(0.3000)
83,tensor(0.1644),tensor(0.2998)
84,tensor(0.1644),tensor(0.2994)
85,tensor(0.1644),tensor(0.2992)
86,tensor(0.1644),tensor(0.2993)
87,tensor(0.1644),tensor(0.2997)
88,tensor(0.1644),tensor(0.3001)
89,tensor(0.1644),tensor(0.3003)
90,tensor(0.1644),tensor(0.3000)
91,tensor(0.1644),tensor(0.2996)
92,tensor(0.1644),tensor(0.2992)
93,tensor(0.1644),tensor(0.2991)
94,tensor(0.1644),tensor(0.2994)
95,tensor(0.1644),tensor(0.2999)
96,tensor(0.1644),tensor(0.3002)
97,tensor(0.1644),tensor(0.3002)
98,tensor(0.1644),tensor(0.2999)
99,tensor(0.1643),tensor(0.2994)
100,tensor(0.1643),tensor(0.2991)
101,tensor(0.1644),tensor(0.2992)
102,tensor(0.1644),tensor(0.2996)
103,tensor(0.1643),tensor(0.3000)
104,tensor(0.1643),tensor(0.3002)
105,tensor(0.1644),tensor(0.3000)
106,tensor(0.1643),tensor(0.2996)
107,tensor(0.1643),tensor(0.2993)
108,tensor(0.1643),tensor(0.2993)
109,tensor(0.1643),tensor(0.2995)
110,tensor(0.1643),tensor(0.2998)
111,tensor(0.1643),tensor(0.3000)
112,tensor(0.1643),tensor(0.2999)
113,tensor(0.1643),tensor(0.2997)
114,tensor(0.1643),tensor(0.2995)
115,tensor(0.1643),tensor(0.2994)
116,tensor(0.1643),tensor(0.2995)
117,tensor(0.1643),tensor(0.2997)
118,tensor(0.1643),tensor(0.2998)
119,tensor(0.1643),tensor(0.2998)
120,tensor(0.1643),tensor(0.2997)
121,tensor(0.1643),tensor(0.2996)
122,tensor(0.1643),tensor(0.2995)
123,tensor(0.1643),tensor(0.2996)
124,tensor(0.1643),tensor(0.2997)
125,tensor(0.1643),tensor(0.2997)
126,tensor(0.1643),tensor(0.2997)
127,tensor(0.1643),tensor(0.2997)
128,tensor(0.1643),tensor(0.2996)
129,tensor(0.1643),tensor(0.2996)
130,tensor(0.1643),tensor(0.2997)
131,tensor(0.1643),tensor(0.2997)
132,tensor(0.1643),tensor(0.2997)
133,tensor(0.1643),tensor(0.2997)
134,tensor(0.1643),tensor(0.2997)
135,tensor(0.1643),tensor(0.2997)
136,tensor(0.1643),tensor(0.2997)
137,tensor(0.1643),tensor(0.2997)
138,tensor(0.1643),tensor(0.2997)
139,tensor(0.1643),tensor(0.2997)
140,tensor(0.1643),tensor(0.2996)
141,tensor(0.1643),tensor(0.2996)
142,tensor(0.1643),tensor(0.2997)
143,tensor(0.1643),tensor(0.2997)
144,tensor(0.1643),tensor(0.2997)
145,tensor(0.1643),tensor(0.2997)
146,tensor(0.1643),tensor(0.2996)
147,tensor(0.1643),tensor(0.2996)
148,tensor(0.1643),tensor(0.2996)
149,tensor(0.1643),tensor(0.2997)
150,tensor(0.1643),tensor(0.2997)
151,tensor(0.1643),tensor(0.2997)
152,tensor(0.1643),tensor(0.2997)
153,tensor(0.1643),tensor(0.2996)
154,tensor(0.1643),tensor(0.2996)
155,tensor(0.1643),tensor(0.2997)
156,tensor(0.1643),tensor(0.2997)
157,tensor(0.1643),tensor(0.2997)
158,tensor(0.1643),tensor(0.2997)
159,tensor(0.1643),tensor(0.2997)
160,tensor(0.1643),tensor(0.2996)
161,tensor(0.1643),tensor(0.2996)
162,tensor(0.1643),tensor(0.2997)
163,tensor(0.1643),tensor(0.2997)
164,tensor(0.1643),tensor(0.2997)
165,tensor(0.1643),tensor(0.2997)
166,tensor(0.1643),tensor(0.2997)
167,tensor(0.1643),tensor(0.2997)
168,tensor(0.1643),tensor(0.2997)
169,tensor(0.1643),tensor(0.2997)
170,tensor(0.1643),tensor(0.2997)
171,tensor(0.1643),tensor(0.2997)
172,tensor(0.1643),tensor(0.2997)
173,tensor(0.1643),tensor(0.2997)
174,tensor(0.1643),tensor(0.2997)
175,tensor(0.1643),tensor(0.2997)
176,tensor(0.1643),tensor(0.2997)
177,tensor(0.1643),tensor(0.2997)
178,tensor(0.1643),tensor(0.2997)
179,tensor(0.1643),tensor(0.2997)
180,tensor(0.1643),tensor(0.2997)
181,tensor(0.1643),tensor(0.2997)
182,tensor(0.1643),tensor(0.2997)
183,tensor(0.1643),tensor(0.2997)
184,tensor(0.1643),tensor(0.2997)
185,tensor(0.1643),tensor(0.2997)
186,tensor(0.1643),tensor(0.2997)
187,tensor(0.1643),tensor(0.2997)
188,tensor(0.1643),tensor(0.2997)
189,tensor(0.1643),tensor(0.2997)
190,tensor(0.1643),tensor(0.2997)
191,tensor(0.1643),tensor(0.2997)
192,tensor(0.1643),tensor(0.2997)
193,tensor(0.1643),tensor(0.2997)
194,tensor(0.1643),tensor(0.2997)
195,tensor(0.1643),tensor(0.2997)
196,tensor(0.1643),tensor(0.2997)
197,tensor(0.1643),tensor(0.2997)
198,tensor(0.1643),tensor(0.2997)
199,tensor(0.1643),tensor(0.2997)
200,tensor(0.1643),tensor(0.2997)
201,tensor(0.1643),tensor(0.2997)
202,tensor(0.1643),tensor(0.2997)
203,tensor(0.1643),tensor(0.2997)
204,tensor(0.1643),tensor(0.2997)
205,tensor(0.1643),tensor(0.2997)
206,tensor(0.1643),tensor(0.2997)
207,tensor(0.1643),tensor(0.2997)
208,tensor(0.1643),tensor(0.2997)
209,tensor(0.1643),tensor(0.2997)
210,tensor(0.1643),tensor(0.2997)
211,tensor(0.1643),tensor(0.2997)
212,tensor(0.1643),tensor(0.2997)
213,tensor(0.1643),tensor(0.2997)
214,tensor(0.1643),tensor(0.2997)
215,tensor(0.1643),tensor(0.2997)
216,tensor(0.1643),tensor(0.2997)
217,tensor(0.1643),tensor(0.2997)
218,tensor(0.1643),tensor(0.2997)
219,tensor(0.1643),tensor(0.2997)
220,tensor(0.1643),tensor(0.2997)
221,tensor(0.1643),tensor(0.2997)
222,tensor(0.1643),tensor(0.2997)
223,tensor(0.1643),tensor(0.2997)
224,tensor(0.1643),tensor(0.2997)
225,tensor(0.1643),tensor(0.2997)
226,tensor(0.1643),tensor(0.2997)
227,tensor(0.1643),tensor(0.2997)
228,tensor(0.1643),tensor(0.2997)
229,tensor(0.1643),tensor(0.2997)
230,tensor(0.1643),tensor(0.2997)
231,tensor(0.1643),tensor(0.2997)
232,tensor(0.1643),tensor(0.2997)
233,tensor(0.1643),tensor(0.2997)
234,tensor(0.1643),tensor(0.2997)
235,tensor(0.1643),tensor(0.2997)
236,tensor(0.1643),tensor(0.2997)
237,tensor(0.1643),tensor(0.2997)
238,tensor(0.1643),tensor(0.2997)
239,tensor(0.1643),tensor(0.2997)
240,tensor(0.1643),tensor(0.2997)
241,tensor(0.1643),tensor(0.2997)
242,tensor(0.1643),tensor(0.2997)
243,tensor(0.1643),tensor(0.2997)
244,tensor(0.1643),tensor(0.2997)
245,tensor(0.1643),tensor(0.2997)
246,tensor(0.1643),tensor(0.2997)
247,tensor(0.1643),tensor(0.2997)
248,tensor(0.1643),tensor(0.2997)
249,tensor(0.1643),tensor(0.2997)
250,tensor(0.1643),tensor(0.2997)
251,tensor(0.1643),tensor(0.2997)
252,tensor(0.1643),tensor(0.2997)
253,tensor(0.1643),tensor(0.2997)
254,tensor(0.1643),tensor(0.2997)
255,tensor(0.1643),tensor(0.2997)
256,tensor(0.1643),tensor(0.2997)
257,tensor(0.1643),tensor(0.2997)
258,tensor(0.1643),tensor(0.2997)
259,tensor(0.1643),tensor(0.2997)
260,tensor(0.1643),tensor(0.2997)
261,tensor(0.1643),tensor(0.2997)
262,tensor(0.1643),tensor(0.2997)
