epoch,train_loss,train_mae
0,tensor(0.7726),tensor(0.6288)
1,tensor(0.5052),tensor(0.6821)
2,tensor(0.6676),tensor(0.6570)
3,tensor(0.5884),tensor(0.6020)
4,tensor(0.4613),tensor(0.5810)
5,tensor(0.4436),tensor(0.6042)
6,tensor(0.4911),tensor(0.6012)
7,tensor(0.4896),tensor(0.5610)
8,tensor(0.4285),tensor(0.5371)
9,tensor(0.3700),tensor(0.5306)
10,tensor(0.3563),tensor(0.5415)
11,tensor(0.3706),tensor(0.5368)
12,tensor(0.3688),tensor(0.5167)
13,tensor(0.3358),tensor(0.4859)
14,tensor(0.2943),tensor(0.4648)
15,tensor(0.2716),tensor(0.4493)
16,tensor(0.2701),tensor(0.4350)
17,tensor(0.2695),tensor(0.4223)
18,tensor(0.2527),tensor(0.4112)
19,tensor(0.2245),tensor(0.4009)
20,tensor(0.2017),tensor(0.3970)
21,tensor(0.1929),tensor(0.3960)
22,tensor(0.1904),tensor(0.3863)
23,tensor(0.1814),tensor(0.3682)
24,tensor(0.1633),tensor(0.3445)
25,tensor(0.1449),tensor(0.3252)
26,tensor(0.1345),tensor(0.3116)
27,tensor(0.1305),tensor(0.2991)
28,tensor(0.1247),tensor(0.2877)
29,tensor(0.1131),tensor(0.2773)
30,tensor(0.0999),tensor(0.2737)
31,tensor(0.0912),tensor(0.2719)
32,tensor(0.0873),tensor(0.2653)
33,tensor(0.0831),tensor(0.2530)
34,tensor(0.0755),tensor(0.2363)
35,tensor(0.0665),tensor(0.2181)
36,tensor(0.0604),tensor(0.2017)
37,tensor(0.0574),tensor(0.1913)
38,tensor(0.0545),tensor(0.1827)
39,tensor(0.0493),tensor(0.1798)
40,tensor(0.0436),tensor(0.1783)
41,tensor(0.0398),tensor(0.1755)
42,tensor(0.0381),tensor(0.1694)
43,tensor(0.0360),tensor(0.1596)
44,tensor(0.0326),tensor(0.1473)
45,tensor(0.0292),tensor(0.1348)
46,tensor(0.0273),tensor(0.1244)
47,tensor(0.0263),tensor(0.1175)
48,tensor(0.0249),tensor(0.1140)
49,tensor(0.0227),tensor(0.1124)
50,tensor(0.0210),tensor(0.1108)
51,tensor(0.0203),tensor(0.1075)
52,tensor(0.0198),tensor(0.1016)
53,tensor(0.0188),tensor(0.0954)
54,tensor(0.0176),tensor(0.0992)
55,tensor(0.0170),tensor(0.1028)
56,tensor(0.0169),tensor(0.1043)
57,tensor(0.0166),tensor(0.1008)
58,tensor(0.0159),tensor(0.0947)
59,tensor(0.0154),tensor(0.0902)
60,tensor(0.0154),tensor(0.0879)
