epoch,train_loss,train_mae
0,tensor(0.4752),tensor(0.4749)
1,tensor(0.4182),tensor(0.4714)
2,tensor(0.2822),tensor(0.5063)
3,tensor(0.2722),tensor(0.4419)
4,tensor(0.2107),tensor(0.3353)
5,tensor(0.1464),tensor(0.3025)
6,tensor(0.1325),tensor(0.3007)
7,tensor(0.1263),tensor(0.2969)
8,tensor(0.1014),tensor(0.2922)
9,tensor(0.0923),tensor(0.2884)
10,tensor(0.1069),tensor(0.2956)
11,tensor(0.1147),tensor(0.2867)
12,tensor(0.1101),tensor(0.2877)
13,tensor(0.1136),tensor(0.2884)
14,tensor(0.1267),tensor(0.2881)
15,tensor(0.1310),tensor(0.2868)
16,tensor(0.1253),tensor(0.2924)
17,tensor(0.1233),tensor(0.3057)
18,tensor(0.1260),tensor(0.3035)
19,tensor(0.1229),tensor(0.2867)
20,tensor(0.1138),tensor(0.2883)
21,tensor(0.1080),tensor(0.2900)
22,tensor(0.1068),tensor(0.2910)
23,tensor(0.1030),tensor(0.2911)
24,tensor(0.0966),tensor(0.2909)
25,tensor(0.0937),tensor(0.2911)
26,tensor(0.0947),tensor(0.2919)
27,tensor(0.0942),tensor(0.2934)
28,tensor(0.0924),tensor(0.2949)
29,tensor(0.0932),tensor(0.2960)
30,tensor(0.0958),tensor(0.2963)
31,tensor(0.0965),tensor(0.2960)
32,tensor(0.0960),tensor(0.2955)
33,tensor(0.0971),tensor(0.2952)
34,tensor(0.0983),tensor(0.2954)
35,tensor(0.0975),tensor(0.2959)
36,tensor(0.0963),tensor(0.2963)
37,tensor(0.0963),tensor(0.2961)
38,tensor(0.0958),tensor(0.2954)
39,tensor(0.0942),tensor(0.2945)
40,tensor(0.0932),tensor(0.2937)
41,tensor(0.0931),tensor(0.2933)
42,tensor(0.0925),tensor(0.2933)
43,tensor(0.0917),tensor(0.2934)
44,tensor(0.0919),tensor(0.2932)
45,tensor(0.0922),tensor(0.2927)
46,tensor(0.0921),tensor(0.2920)
47,tensor(0.0922),tensor(0.2916)
48,tensor(0.0927),tensor(0.2915)
49,tensor(0.0928),tensor(0.2917)
50,tensor(0.0927),tensor(0.2920)
51,tensor(0.0928),tensor(0.2922)
52,tensor(0.0928),tensor(0.2921)
53,tensor(0.0925),tensor(0.2919)
54,tensor(0.0923),tensor(0.2919)
55,tensor(0.0923),tensor(0.2922)
56,tensor(0.0920),tensor(0.2927)
57,tensor(0.0918),tensor(0.2930)
58,tensor(0.0918),tensor(0.2932)
59,tensor(0.0917),tensor(0.2932)
60,tensor(0.0917),tensor(0.2932)
61,tensor(0.0918),tensor(0.2933)
62,tensor(0.0918),tensor(0.2935)
63,tensor(0.0918),tensor(0.2938)
64,tensor(0.0919),tensor(0.2939)
65,tensor(0.0919),tensor(0.2938)
66,tensor(0.0919),tensor(0.2936)
67,tensor(0.0919),tensor(0.2935)
68,tensor(0.0919),tensor(0.2935)
69,tensor(0.0918),tensor(0.2935)
70,tensor(0.0917),tensor(0.2935)
71,tensor(0.0917),tensor(0.2934)
72,tensor(0.0917),tensor(0.2931)
73,tensor(0.0917),tensor(0.2930)
74,tensor(0.0917),tensor(0.2929)
75,tensor(0.0917),tensor(0.2929)
76,tensor(0.0917),tensor(0.2929)
77,tensor(0.0917),tensor(0.2929)
78,tensor(0.0917),tensor(0.2928)
79,tensor(0.0917),tensor(0.2927)
80,tensor(0.0917),tensor(0.2927)
81,tensor(0.0917),tensor(0.2928)
82,tensor(0.0917),tensor(0.2929)
83,tensor(0.0917),tensor(0.2929)
84,tensor(0.0917),tensor(0.2929)
85,tensor(0.0917),tensor(0.2929)
86,tensor(0.0917),tensor(0.2930)
87,tensor(0.0917),tensor(0.2931)
88,tensor(0.0917),tensor(0.2932)
89,tensor(0.0917),tensor(0.2932)
90,tensor(0.0917),tensor(0.2932)
91,tensor(0.0917),tensor(0.2932)
92,tensor(0.0917),tensor(0.2932)
93,tensor(0.0917),tensor(0.2932)
94,tensor(0.0917),tensor(0.2933)
95,tensor(0.0917),tensor(0.2932)
96,tensor(0.0917),tensor(0.2932)
97,tensor(0.0917),tensor(0.2931)
98,tensor(0.0917),tensor(0.2931)
99,tensor(0.0917),tensor(0.2931)
100,tensor(0.0917),tensor(0.2931)
101,tensor(0.0917),tensor(0.2931)
102,tensor(0.0917),tensor(0.2930)
103,tensor(0.0917),tensor(0.2930)
104,tensor(0.0917),tensor(0.2930)
105,tensor(0.0917),tensor(0.2930)
106,tensor(0.0917),tensor(0.2930)
107,tensor(0.0917),tensor(0.2930)
108,tensor(0.0917),tensor(0.2930)
109,tensor(0.0917),tensor(0.2930)
110,tensor(0.0917),tensor(0.2931)
111,tensor(0.0917),tensor(0.2931)
112,tensor(0.0917),tensor(0.2931)
113,tensor(0.0917),tensor(0.2931)
114,tensor(0.0917),tensor(0.2931)
115,tensor(0.0917),tensor(0.2931)
116,tensor(0.0917),tensor(0.2931)
117,tensor(0.0917),tensor(0.2931)
118,tensor(0.0917),tensor(0.2931)
119,tensor(0.0917),tensor(0.2931)
120,tensor(0.0917),tensor(0.2931)
121,tensor(0.0917),tensor(0.2931)
122,tensor(0.0917),tensor(0.2931)
123,tensor(0.0917),tensor(0.2931)
124,tensor(0.0917),tensor(0.2931)
125,tensor(0.0917),tensor(0.2931)
126,tensor(0.0917),tensor(0.2931)
127,tensor(0.0917),tensor(0.2931)
128,tensor(0.0917),tensor(0.2931)
129,tensor(0.0917),tensor(0.2931)
130,tensor(0.0917),tensor(0.2931)
131,tensor(0.0917),tensor(0.2931)
132,tensor(0.0917),tensor(0.2931)
133,tensor(0.0917),tensor(0.2931)
134,tensor(0.0917),tensor(0.2931)
135,tensor(0.0917),tensor(0.2931)
136,tensor(0.0917),tensor(0.2931)
137,tensor(0.0917),tensor(0.2931)
138,tensor(0.0917),tensor(0.2931)
139,tensor(0.0917),tensor(0.2931)
140,tensor(0.0917),tensor(0.2931)
141,tensor(0.0917),tensor(0.2931)
142,tensor(0.0917),tensor(0.2931)
143,tensor(0.0917),tensor(0.2931)
144,tensor(0.0917),tensor(0.2931)
145,tensor(0.0917),tensor(0.2931)
146,tensor(0.0917),tensor(0.2931)
147,tensor(0.0917),tensor(0.2931)
148,tensor(0.0917),tensor(0.2931)
149,tensor(0.0917),tensor(0.2931)
150,tensor(0.0917),tensor(0.2931)
151,tensor(0.0917),tensor(0.2931)
152,tensor(0.0917),tensor(0.2931)
153,tensor(0.0917),tensor(0.2931)
154,tensor(0.0917),tensor(0.2931)
155,tensor(0.0917),tensor(0.2931)
156,tensor(0.0917),tensor(0.2931)
157,tensor(0.0917),tensor(0.2931)
158,tensor(0.0917),tensor(0.2931)
159,tensor(0.0917),tensor(0.2931)
160,tensor(0.0917),tensor(0.2931)
161,tensor(0.0917),tensor(0.2931)
162,tensor(0.0917),tensor(0.2931)
163,tensor(0.0917),tensor(0.2931)
164,tensor(0.0917),tensor(0.2931)
165,tensor(0.0917),tensor(0.2931)
166,tensor(0.0917),tensor(0.2931)
167,tensor(0.0917),tensor(0.2931)
168,tensor(0.0917),tensor(0.2931)
169,tensor(0.0917),tensor(0.2931)
170,tensor(0.0917),tensor(0.2931)
171,tensor(0.0917),tensor(0.2931)
172,tensor(0.0917),tensor(0.2931)
173,tensor(0.0917),tensor(0.2931)
174,tensor(0.0917),tensor(0.2931)
175,tensor(0.0917),tensor(0.2931)
176,tensor(0.0917),tensor(0.2931)
177,tensor(0.0917),tensor(0.2931)
178,tensor(0.0917),tensor(0.2931)
179,tensor(0.0917),tensor(0.2931)
180,tensor(0.0917),tensor(0.2931)
181,tensor(0.0917),tensor(0.2931)
182,tensor(0.0917),tensor(0.2931)
183,tensor(0.0917),tensor(0.2931)
184,tensor(0.0917),tensor(0.2931)
185,tensor(0.0917),tensor(0.2931)
186,tensor(0.0917),tensor(0.2931)
187,tensor(0.0917),tensor(0.2931)
188,tensor(0.0917),tensor(0.2931)
189,tensor(0.0917),tensor(0.2931)
190,tensor(0.0917),tensor(0.2931)
191,tensor(0.0917),tensor(0.2931)
192,tensor(0.0917),tensor(0.2931)
193,tensor(0.0917),tensor(0.2931)
194,tensor(0.0917),tensor(0.2931)
195,tensor(0.0917),tensor(0.2931)
196,tensor(0.0917),tensor(0.2931)
197,tensor(0.0917),tensor(0.2931)
198,tensor(0.0917),tensor(0.2931)
199,tensor(0.0917),tensor(0.2931)
200,tensor(0.0917),tensor(0.2931)
201,tensor(0.0917),tensor(0.2931)
202,tensor(0.0917),tensor(0.2931)
203,tensor(0.0917),tensor(0.2931)
204,tensor(0.0917),tensor(0.2931)
205,tensor(0.0917),tensor(0.2931)
206,tensor(0.0917),tensor(0.2931)
207,tensor(0.0917),tensor(0.2931)
208,tensor(0.0917),tensor(0.2931)
209,tensor(0.0917),tensor(0.2931)
210,tensor(0.0917),tensor(0.2931)
211,tensor(0.0917),tensor(0.2931)
212,tensor(0.0917),tensor(0.2931)
213,tensor(0.0917),tensor(0.2931)
214,tensor(0.0917),tensor(0.2931)
215,tensor(0.0917),tensor(0.2931)
216,tensor(0.0917),tensor(0.2931)
217,tensor(0.0917),tensor(0.2931)
218,tensor(0.0917),tensor(0.2931)
219,tensor(0.0917),tensor(0.2931)
220,tensor(0.0917),tensor(0.2931)
221,tensor(0.0917),tensor(0.2931)
222,tensor(0.0917),tensor(0.2931)
223,tensor(0.0917),tensor(0.2931)
224,tensor(0.0917),tensor(0.2931)
225,tensor(0.0917),tensor(0.2931)
226,tensor(0.0917),tensor(0.2931)
227,tensor(0.0917),tensor(0.2931)
228,tensor(0.0917),tensor(0.2931)
229,tensor(0.0917),tensor(0.2931)
230,tensor(0.0917),tensor(0.2931)
231,tensor(0.0917),tensor(0.2931)
232,tensor(0.0917),tensor(0.2931)
233,tensor(0.0917),tensor(0.2931)
234,tensor(0.0917),tensor(0.2931)
235,tensor(0.0917),tensor(0.2931)
236,tensor(0.0917),tensor(0.2931)
237,tensor(0.0917),tensor(0.2931)
238,tensor(0.0917),tensor(0.2931)
239,tensor(0.0917),tensor(0.2931)
240,tensor(0.0917),tensor(0.2931)
241,tensor(0.0917),tensor(0.2931)
242,tensor(0.0917),tensor(0.2931)
243,tensor(0.0917),tensor(0.2931)
244,tensor(0.0917),tensor(0.2931)
245,tensor(0.0917),tensor(0.2931)
246,tensor(0.0917),tensor(0.2931)
247,tensor(0.0917),tensor(0.2931)
248,tensor(0.0917),tensor(0.2931)
249,tensor(0.0917),tensor(0.2931)
250,tensor(0.0917),tensor(0.2931)
251,tensor(0.0917),tensor(0.2931)
252,tensor(0.0917),tensor(0.2931)
253,tensor(0.0917),tensor(0.2931)
254,tensor(0.0917),tensor(0.2931)
255,tensor(0.0917),tensor(0.2931)
256,tensor(0.0917),tensor(0.2931)
257,tensor(0.0917),tensor(0.2931)
258,tensor(0.0917),tensor(0.2931)
259,tensor(0.0917),tensor(0.2931)
