epoch,train_loss,train_mae
0,tensor(0.7703),tensor(0.6383)
1,tensor(0.8339),tensor(0.6005)
2,tensor(0.6732),tensor(0.5983)
3,tensor(0.5031),tensor(0.6576)
4,tensor(0.4805),tensor(0.6459)
5,tensor(0.4589),tensor(0.5690)
6,tensor(0.3617),tensor(0.4550)
7,tensor(0.2651),tensor(0.3831)
8,tensor(0.2312),tensor(0.3445)
9,tensor(0.2239),tensor(0.3142)
10,tensor(0.1841),tensor(0.2795)
11,tensor(0.1243),tensor(0.2585)
12,tensor(0.0861),tensor(0.2376)
13,tensor(0.0800),tensor(0.2206)
14,tensor(0.0767),tensor(0.1742)
15,tensor(0.0550),tensor(0.1355)
16,tensor(0.0290),tensor(0.1090)
17,tensor(0.0211),tensor(0.1539)
18,tensor(0.0288),tensor(0.1591)
19,tensor(0.0317),tensor(0.1280)
20,tensor(0.0228),tensor(0.1031)
21,tensor(0.0156),tensor(0.1092)
22,tensor(0.0207),tensor(0.1389)
23,tensor(0.0303),tensor(0.1369)
24,tensor(0.0321),tensor(0.1328)
25,tensor(0.0278),tensor(0.1503)
26,tensor(0.0279),tensor(0.1643)
27,tensor(0.0343),tensor(0.1708)
28,tensor(0.0384),tensor(0.1691)
29,tensor(0.0361),tensor(0.1616)
30,tensor(0.0328),tensor(0.1526)
31,tensor(0.0340),tensor(0.1465)
32,tensor(0.0363),tensor(0.1451)
33,tensor(0.0345),tensor(0.1478)
34,tensor(0.0302),tensor(0.1514)
35,tensor(0.0282),tensor(0.1521)
36,tensor(0.0285),tensor(0.1478)
37,tensor(0.0271),tensor(0.1384)
38,tensor(0.0234),tensor(0.1264)
39,tensor(0.0208),tensor(0.1153)
40,tensor(0.0205),tensor(0.1079)
41,tensor(0.0198),tensor(0.1041)
42,tensor(0.0175),tensor(0.1030)
43,tensor(0.0157),tensor(0.1017)
44,tensor(0.0156),tensor(0.1036)
45,tensor(0.0157),tensor(0.0967)
46,tensor(0.0147),tensor(0.0838)
47,tensor(0.0139),tensor(0.0798)
48,tensor(0.0143),tensor(0.0828)
49,tensor(0.0148),tensor(0.0803)
50,tensor(0.0145),tensor(0.0800)
51,tensor(0.0143),tensor(0.0847)
52,tensor(0.0148),tensor(0.0869)
53,tensor(0.0153),tensor(0.0826)
54,tensor(0.0151),tensor(0.0808)
55,tensor(0.0150),tensor(0.0841)
56,tensor(0.0153),tensor(0.0859)
57,tensor(0.0155),tensor(0.0824)
58,tensor(0.0152),tensor(0.0805)
59,tensor(0.0151),tensor(0.0823)
60,tensor(0.0152),tensor(0.0826)
61,tensor(0.0151),tensor(0.0811)
62,tensor(0.0148),tensor(0.0803)
63,tensor(0.0146),tensor(0.0808)
64,tensor(0.0146),tensor(0.0802)
65,tensor(0.0145),tensor(0.0797)
66,tensor(0.0142),tensor(0.0819)
67,tensor(0.0141),tensor(0.0845)
68,tensor(0.0141),tensor(0.0834)
69,tensor(0.0140),tensor(0.0805)
70,tensor(0.0139),tensor(0.0793)
71,tensor(0.0139),tensor(0.0792)
72,tensor(0.0139),tensor(0.0804)
73,tensor(0.0139),tensor(0.0843)
74,tensor(0.0139),tensor(0.0866)
75,tensor(0.0139),tensor(0.0862)
76,tensor(0.0139),tensor(0.0838)
77,tensor(0.0139),tensor(0.0824)
78,tensor(0.0140),tensor(0.0826)
79,tensor(0.0140),tensor(0.0834)
80,tensor(0.0140),tensor(0.0852)
81,tensor(0.0140),tensor(0.0866)
82,tensor(0.0140),tensor(0.0860)
83,tensor(0.0140),tensor(0.0840)
84,tensor(0.0140),tensor(0.0825)
85,tensor(0.0140),tensor(0.0819)
86,tensor(0.0139),tensor(0.0826)
87,tensor(0.0139),tensor(0.0841)
88,tensor(0.0139),tensor(0.0848)
89,tensor(0.0139),tensor(0.0840)
90,tensor(0.0139),tensor(0.0823)
91,tensor(0.0139),tensor(0.0809)
92,tensor(0.0139),tensor(0.0807)
93,tensor(0.0139),tensor(0.0816)
94,tensor(0.0139),tensor(0.0826)
95,tensor(0.0139),tensor(0.0828)
96,tensor(0.0139),tensor(0.0820)
97,tensor(0.0139),tensor(0.0808)
98,tensor(0.0139),tensor(0.0803)
99,tensor(0.0139),tensor(0.0805)
100,tensor(0.0139),tensor(0.0812)
101,tensor(0.0139),tensor(0.0819)
102,tensor(0.0139),tensor(0.0818)
103,tensor(0.0139),tensor(0.0811)
104,tensor(0.0139),tensor(0.0805)
105,tensor(0.0139),tensor(0.0805)
106,tensor(0.0139),tensor(0.0809)
107,tensor(0.0139),tensor(0.0817)
108,tensor(0.0139),tensor(0.0820)
109,tensor(0.0139),tensor(0.0817)
110,tensor(0.0139),tensor(0.0812)
111,tensor(0.0139),tensor(0.0810)
112,tensor(0.0139),tensor(0.0813)
113,tensor(0.0139),tensor(0.0818)
114,tensor(0.0139),tensor(0.0822)
115,tensor(0.0139),tensor(0.0822)
116,tensor(0.0139),tensor(0.0818)
117,tensor(0.0139),tensor(0.0815)
118,tensor(0.0139),tensor(0.0816)
119,tensor(0.0139),tensor(0.0820)
120,tensor(0.0139),tensor(0.0823)
121,tensor(0.0139),tensor(0.0823)
122,tensor(0.0139),tensor(0.0821)
123,tensor(0.0139),tensor(0.0818)
124,tensor(0.0139),tensor(0.0818)
125,tensor(0.0139),tensor(0.0820)
126,tensor(0.0139),tensor(0.0822)
127,tensor(0.0139),tensor(0.0822)
128,tensor(0.0139),tensor(0.0820)
129,tensor(0.0139),tensor(0.0818)
130,tensor(0.0139),tensor(0.0817)
131,tensor(0.0139),tensor(0.0818)
132,tensor(0.0139),tensor(0.0820)
133,tensor(0.0139),tensor(0.0820)
134,tensor(0.0139),tensor(0.0819)
135,tensor(0.0139),tensor(0.0817)
136,tensor(0.0139),tensor(0.0816)
137,tensor(0.0139),tensor(0.0817)
138,tensor(0.0139),tensor(0.0818)
139,tensor(0.0139),tensor(0.0818)
140,tensor(0.0139),tensor(0.0817)
141,tensor(0.0139),tensor(0.0816)
142,tensor(0.0139),tensor(0.0816)
143,tensor(0.0139),tensor(0.0817)
144,tensor(0.0139),tensor(0.0818)
145,tensor(0.0139),tensor(0.0818)
146,tensor(0.0139),tensor(0.0817)
147,tensor(0.0139),tensor(0.0816)
148,tensor(0.0139),tensor(0.0817)
149,tensor(0.0139),tensor(0.0817)
150,tensor(0.0139),tensor(0.0818)
151,tensor(0.0139),tensor(0.0818)
152,tensor(0.0139),tensor(0.0818)
153,tensor(0.0139),tensor(0.0817)
154,tensor(0.0139),tensor(0.0817)
155,tensor(0.0139),tensor(0.0818)
156,tensor(0.0139),tensor(0.0819)
157,tensor(0.0139),tensor(0.0819)
