participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
34,0.16539260745048523,0.29419416189193726,157.0,13.0,230.0,-0.4849937856197357,0.7313584089279175,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.243434190750122,-1.243434190750122,-1.243434190750122,-1.243434190750122,,
35,0.0009133181301876903,0.029462063685059547,218.0,28.0,244.0,-0.507921576499939,-2.9922499656677246,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8537984490394592,-0.8537984490394592,-0.8537984490394592,-0.8537984490394592,,
36,0.6305891275405884,0.6974229216575623,130.0,8.0,203.0,1.3248200416564941,-2.4345169067382812,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.16783735156059265,-0.16783735156059265,-0.16783735156059265,-0.16783735156059265,,
37,1.0324294567108154,0.7210487127304077,167.0,37.0,262.0,-0.3756450414657593,-0.1655179113149643,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0149965286254883,1.0149965286254883,1.0149965286254883,1.0149965286254883,,
38,0.8778780102729797,0.7973493933677673,266.0,20.0,270.0,-0.7460811138153076,1.2478606700897217,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.2615965008735657,10.155343055725098,0.2615965008735657,10.155343055725098,,
39,0.9741561412811279,0.7462125420570374,73.0,29.0,237.0,1.159271240234375,0.7824376225471497,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1056822538375854,-1.1056822538375854,-1.1056822538375854,-1.1056822538375854,,
40,0.16773533821105957,0.2969408929347992,130.0,64.0,229.0,-0.17239531874656677,0.9668971300125122,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8365927934646606,-11.360040664672852,-0.8365927934646606,-11.360040664672852,,
41,0.5707916021347046,0.6892864108085632,110.0,3.0,237.0,-0.17920120060443878,-0.34103772044181824,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.9758554100990295,-5.029600143432617,0.9758554100990295,-5.029600143432617,,
42,0.10826369374990463,0.22163760662078857,69.0,19.0,246.0,0.904397189617157,0.7407423257827759,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1128534078598022,-5.331892967224121,1.1128534078598022,-5.331892967224121,,
43,,,,,,0.46347561478614807,0.46347561478614807,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.245776653289795,-1.245776653289795,-1.245776653289795,-1.245776653289795,,
44,0.005524178501218557,0.04337842017412186,310.0,5.0,343.0,-0.18783915042877197,1.010650396347046,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3887782096862793,5.003085136413574,1.3887782096862793,5.003085136413574,,
45,0.23075167834758759,0.29437851905822754,33.0,15.0,232.0,-1.592470407485962,0.4321843981742859,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.24440504610538483,-5.7610859870910645,0.24440504610538483,-5.7610859870910645,,
46,0.9357021450996399,0.8634909391403198,3044.0,17.0,3052.0,-1.6340935230255127,0.5895587205886841,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7776015996932983,-149.77706909179688,-0.7776015996932983,-149.77706909179688,,
47,0.6282691359519958,0.6077112555503845,115.0,44.0,210.0,0.1895233690738678,-0.09465596824884415,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5810344815254211,-0.5810344815254211,-0.5810344815254211,-0.5810344815254211,,
48,0.5657267570495605,0.6563720107078552,177.0,26.0,242.0,-0.7155632376670837,0.9461082220077515,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.2980106770992279,-0.2980106770992279,-0.2980106770992279,-0.2980106770992279,,
49,0.5109705924987793,0.548654317855835,192.0,26.0,270.0,1.2057292461395264,1.0478832721710205,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.2976638078689575,8.460450172424316,1.2976638078689575,8.460450172424316,,
50,0.4716517925262451,0.566615104675293,148.0,12.0,241.0,0.3273055851459503,0.7896259427070618,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6576492786407471,0.6576492786407471,0.6576492786407471,0.6576492786407471,,
51,0.702573835849762,0.7292315363883972,60.0,9.0,218.0,-0.6353731155395508,0.6267747282981873,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.693922996520996,-1.693922996520996,-1.693922996520996,-1.693922996520996,,
52,0.5754631757736206,0.4993009567260742,135.0,39.0,210.0,-0.6618083119392395,-1.0672554969787598,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3868732452392578,-1.3868732452392578,-1.3868732452392578,-1.3868732452392578,,
53,0.9953398704528809,0.8286925554275513,32.0,5.0,231.0,1.5388774871826172,0.9049934148788452,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.6373447775840759,-0.6373447775840759,-0.6373447775840759,-0.6373447775840759,,
54,0.8184633255004883,0.40829145908355713,183.0,9.0,232.0,0.8380176424980164,0.973436176776886,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.18574009835720062,-5.819687843322754,0.18574009835720062,-5.819687843322754,,
55,0.701328456401825,0.369783490896225,131.0,0.0,268.0,0.1867435723543167,0.9291365742683411,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.3670927882194519,3.508678913116455,0.3670927882194519,3.508678913116455,,
56,0.19554941356182098,0.3707617223262787,165.0,40.0,254.0,-0.3413856327533722,0.9407299757003784,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.6820135116577148,-1.6820135116577148,-1.6820135116577148,-1.6820135116577148,,
